cell_id,split
P001_1_S01_C10,train
P001_2_S04_C09,train
P001_3_S05_C06,train
P002_1_S02_C10,train
P002_2_S03_C10,train
P002_3_S04_C10,train
P003_1_S01_C11,train
P003_2_S02_C11,validation
P003_3_S05_C07,train
P004_1_S03_C11,train
P004_2_S04_C11,test
P004_3_S05_C08,train
P005_1_S07_C09,train
P005_2_S08_C09,train
P005_3_S09_C09,train
P006_1_S06_C10,train
P006_2_S07_C10,train
P006_3_S08_C10,train
P007_1_S06_C11,validation
P007_2_S09_C10,test
P007_3_S10_C05,train
P008_1_S07_C11,train
P008_2_S08_C11,train
P008_3_S09_C11,train
P009_1_S12_C09,train
P009_2_S13_C09,train
P009_3_S14_C09,train
P010_1_S11_C10,train
P010_2_S12_C10,train
P010_3_S13_C10,train
P011_1_S10_C11,test
P011_2_S11_C11,train
P011_3_S14_C10,train
P012_1_S12_C11,validation
P012_2_S13_C11,train
P012_3_S14_C11,train
P013_1_S15_C09,train
P013_2_S16_C10,train
P013_3_S19_C09,train
P014_1_S17_C10,train
P014_2_S18_C10,validation
P014_3_S19_C10,train
P015_1_S15_C10,train
P015_2_S16_C11,train
P015_3_S17_C11,test
P016_1_S15_C11,train
P016_2_S18_C11,train
P016_3_S19_C11,train
P017_1_S01_C08,train
P017_2_S04_C07,train
P017_3_S05_C05,train
P018_1_S01_C06,train
P018_2_S02_C06,train
P018_3_S04_C05,train
P019_1_S01_C04,train
P019_2_S02_C04,train
P019_3_S05_C02,train
P020_1_S01_C00,train
P020_2_S02_C00,train
P020_3_S03_C00,train
P021_1_S02_C08,train
P021_2_S03_C08,train
P021_3_S04_C08,train
P022_1_S03_C06,train
P022_2_S04_C06,train
P022_3_S05_C04,train
P023_1_S03_C04,train
P023_2_S04_C04,train
P023_3_S05_C03,train
P024_1_S01_C01,train
P024_2_S04_C00,train
P024_3_S05_C00,train
P025_1_S01_C09,train
P025_2_S02_C09,train
P025_3_S03_C09,train
P026_1_S01_C07,train
P026_2_S02_C07,train
P026_3_S03_C07,train
P027_1_S01_C05,train
P027_2_S02_C05,train
P027_3_S03_C05,train
P028_1_S02_C01,train
P028_2_S03_C01,train
P028_3_S04_C01,train
P029_1_S06_C08,train
P029_2_S08_C07,train
P029_3_S09_C07,train
P030_1_S06_C06,train
P030_2_S08_C05,train
P030_3_S09_C05,train
P031_1_S06_C04,train
P031_2_S07_C04,train
P031_3_S09_C03,train
P032_1_S06_C00,train
P032_2_S07_C00,train
P032_3_S08_C00,train
P033_1_S07_C08,train
P033_2_S08_C08,train
P033_3_S09_C08,train
P034_1_S07_C06,train
P034_2_S08_C06,train
P034_3_S09_C06,train
P035_1_S08_C04,train
P035_2_S09_C04,train
P035_3_S10_C02,train
P036_1_S05_C09,train
P036_2_S09_C00,train
P036_3_S10_C00,train
P037_1_S05_C11,train
P037_2_S06_C09,test
P037_3_S10_C04,train
P038_1_S06_C07,train
P038_2_S07_C07,validation
P038_3_S10_C03,train
P039_1_S05_C10,train
P039_2_S06_C05,train
P039_3_S07_C05,train
P040_1_S06_C01,train
P040_2_S07_C01,train
P040_3_S08_C01,train
P041_1_S11_C08,train
P041_2_S13_C07,train
P041_3_S14_C07,train
P042_1_S11_C06,train
P042_2_S13_C05,train
P042_3_S14_C05,train
P043_1_S11_C04,train
P043_2_S12_C04,train
P043_3_S14_C03,train
P044_1_S11_C00,train
P044_2_S12_C00,train
P044_3_S13_C00,train
P045_1_S12_C08,train
P045_2_S13_C08,train
P045_3_S14_C08,train
P046_1_S12_C06,train
P046_2_S13_C06,train
P046_3_S14_C06,train
P047_1_S13_C04,train
P047_2_S14_C04,train
P047_3_S15_C01,train
P048_1_S10_C06,train
P048_2_S14_C00,train
P048_3_S15_C00,train
P049_1_S10_C10,train
P049_2_S11_C09,train
P049_3_S15_C02,test
P050_1_S10_C09,train
P050_2_S11_C07,train
P050_3_S12_C07,train
P051_1_S10_C08,train
P051_2_S11_C05,test
P051_3_S12_C05,train
P052_1_S11_C01,train
P052_2_S12_C01,train
P052_3_S13_C01,train
P053_1_S15_C08,train
P053_2_S16_C08,train
P053_3_S19_C07,train
P054_1_S16_C06,train
P054_2_S17_C06,train
P054_3_S19_C05,train
P055_1_S15_C05,train
P055_2_S16_C04,train
P055_3_S17_C04,train
P056_1_S16_C00,train
P056_2_S17_C00,train
P056_3_S18_C00,train
P057_1_S17_C08,train
P057_2_S18_C08,train
P057_3_S19_C08,train
P058_1_S15_C07,train
P058_2_S18_C06,train
P058_3_S19_C06,train
P059_1_S15_C06,train
P059_2_S18_C04,train
P059_3_S19_C04,train
P060_1_S15_C03,train
P060_2_S16_C01,train
P060_3_S19_C00,train
P061_1_S16_C09,train
P061_2_S17_C09,train
P061_3_S18_C09,validation
P062_1_S16_C07,train
P062_2_S17_C07,train
P062_3_S18_C07,train
P063_1_S16_C05,train
P063_2_S17_C05,train
P063_3_S18_C05,test
P064_1_S17_C01,train
P064_2_S18_C01,train
P064_3_S19_C01,train
P065_1_S01_C03,train
P065_2_S03_C02,train
P065_3_S04_C02,train
P066_1_S02_C03,train
P066_2_S03_C03,train
P066_3_S04_C03,train
P067_1_S01_C02,train
P067_2_S02_C02,train
P067_3_S05_C01,train
P068_1_S06_C03,validation
P068_2_S07_C03,train
P068_3_S08_C03,test
P069_1_S08_C02,train
P069_2_S09_C02,train
P069_3_S10_C01,train
P070_1_S06_C02,train
P070_2_S07_C02,train
P070_3_S09_C01,train
P071_1_S11_C03,train
P071_2_S12_C03,train
P071_3_S13_C03,validation
P072_1_S10_C07,train
P072_2_S13_C02,train
P072_3_S14_C02,train
P073_1_S11_C02,train
P073_2_S12_C02,train
P073_3_S14_C01,train
P074_1_S17_C03,train
P074_2_S18_C03,train
P074_3_S19_C03,train
P075_1_S16_C03,train
P075_2_S18_C02,train
P075_3_S19_C02,test
P076_1_S15_C04,validation
P076_2_S16_C02,train
P076_3_S17_C02,train
