cell_id,fold
P001_3_S05_C06,1
P003_2_S02_C11,1
P005_1_S07_C09,1
P006_3_S08_C10,1
P008_2_S08_C11,1
P010_1_S11_C10,1
P011_3_S14_C10,1
P013_2_S16_C10,1
P015_1_S15_C10,1
P016_3_S19_C11,1
P018_2_S02_C06,1
P020_1_S01_C00,1
P021_3_S04_C08,1
P023_2_S04_C04,1
P025_1_S01_C09,1
P026_3_S03_C07,1
P028_2_S03_C01,1
P030_1_S06_C06,1
P031_3_S09_C03,1
P033_2_S08_C08,1
P035_1_S08_C04,1
P036_3_S10_C00,1
P038_2_S07_C07,1
P040_1_S06_C01,1
P041_3_S14_C07,1
P043_2_S12_C04,1
P045_1_S12_C08,1
P046_3_S14_C06,1
P048_2_S14_C00,1
P050_1_S10_C09,1
P051_3_S12_C05,1
P053_2_S16_C08,1
P055_1_S15_C05,1
P056_3_S18_C00,1
P058_2_S18_C06,1
P060_1_S15_C03,1
P061_3_S18_C09,1
P063_2_S17_C05,1
P065_1_S01_C03,1
P066_3_S04_C03,1
P068_2_S07_C03,1
P070_1_S06_C02,1
P071_3_S13_C03,1
P073_2_S12_C02,1
P075_1_S16_C03,1
P076_3_S17_C02,1
P001_2_S04_C09,2
P003_1_S01_C11,2
P004_3_S05_C08,2
P006_2_S07_C10,2
P008_1_S07_C11,2
P009_3_S14_C09,2
P011_2_S11_C11,2
P013_1_S15_C09,2
P014_3_S19_C10,2
P016_2_S18_C11,2
P018_1_S01_C06,2
P019_3_S05_C02,2
P021_2_S03_C08,2
P023_1_S03_C04,2
P024_3_S05_C00,2
P026_2_S02_C07,2
P028_1_S02_C01,2
P029_3_S09_C07,2
P031_2_S07_C04,2
P033_1_S07_C08,2
P034_3_S09_C06,2
P036_2_S09_C00,2
P038_1_S06_C07,2
P039_3_S07_C05,2
P041_2_S13_C07,2
P043_1_S11_C04,2
P044_3_S13_C00,2
P046_2_S13_C06,2
P048_1_S10_C06,2
P049_3_S15_C02,2
P051_2_S11_C05,2
P053_1_S15_C08,2
P054_3_S19_C05,2
P056_2_S17_C00,2
P058_1_S15_C07,2
P059_3_S19_C04,2
P061_2_S17_C09,2
P063_1_S16_C05,2
P064_3_S19_C01,2
P066_2_S03_C03,2
P068_1_S06_C03,2
P069_3_S10_C01,2
P071_2_S12_C03,2
P073_1_S11_C02,2
P074_3_S19_C03,2
P076_2_S16_C02,2
P001_1_S01_C10,3
P002_3_S04_C10,3
