method,run,target_hv,evaluations_to_parity,reached
NSGA-II,1,1.141019,74.0,True
NSGA-II,2,1.141019,23.0,True
NSGA-II,3,1.141019,58.0,True
NSGA-II,4,1.141019,87.0,True
NSGA-II,5,1.141019,35.0,True
NSGA-II,6,1.141019,48.0,True
NSGA-II,7,1.141019,223.0,True
NSGA-II,8,1.141019,25.0,True
NSGA-II,9,1.141019,118.0,True
NSGA-II,10,1.141019,72.0,True
NSGA-II,11,1.141019,61.0,True
NSGA-II,12,1.141019,32.0,True
NSGA-II,13,1.141019,48.0,True
NSGA-II,14,1.141019,94.0,True
NSGA-II,15,1.141019,70.0,True
NSGA-III,1,1.141019,86.0,True
NSGA-III,2,1.141019,162.0,True
NSGA-III,3,1.141019,34.0,True
NSGA-III,4,1.141019,94.0,True
NSGA-III,5,1.141019,127.0,True
NSGA-III,6,1.141019,110.0,True
NSGA-III,7,1.141019,111.0,True
NSGA-III,8,1.141019,63.0,True
NSGA-III,9,1.141019,,False
NSGA-III,10,1.141019,,False
NSGA-III,11,1.141019,209.0,True
NSGA-III,12,1.141019,,False
NSGA-III,13,1.141019,,False
NSGA-III,14,1.141019,,False
NSGA-III,15,1.141019,255.0,True
Random,1,1.141019,,False
Random,2,1.141019,64.0,True
Random,3,1.141019,188.0,True
Random,4,1.141019,247.0,True
Random,5,1.141019,161.0,True
Random,6,1.141019,106.0,True
Random,7,1.141019,,False
Random,8,1.141019,123.0,True
Random,9,1.141019,,False
Random,10,1.141019,262.0,True
Random,11,1.141019,,False
Random,12,1.141019,,False
Random,13,1.141019,,False
Random,14,1.141019,,False
Random,15,1.141019,182.0,True
