method,run,nondominated_front_size,schott_spacing
NSGA-II,1,30,0.032588127761302765
NSGA-II,2,21,0.039954576002847055
NSGA-II,3,24,0.03590156001739928
NSGA-II,4,17,0.05057093303932836
NSGA-II,5,25,0.04715046915803889
NSGA-II,6,19,0.048767947378701416
NSGA-II,7,22,0.04146374705347394
NSGA-II,8,14,0.07109932409505589
NSGA-II,9,14,0.10935241828327052
NSGA-II,10,23,0.10591575723766533
NSGA-II,11,23,0.03744237637737938
NSGA-II,12,10,0.10644355934537718
NSGA-II,13,28,0.18427950983387698
NSGA-II,14,19,0.24721700069811806
NSGA-II,15,22,0.10211762261095271
NSGA-III,1,26,0.0935049242578697
NSGA-III,2,26,0.09951090845307269
NSGA-III,3,25,0.04117703278435005
NSGA-III,4,23,0.05628977644063972
NSGA-III,5,27,0.04552371793385914
NSGA-III,6,14,0.14897899584706079
NSGA-III,7,21,0.196904800038302
NSGA-III,8,21,0.0839396750654834
NSGA-III,9,14,0.03788838331898938
NSGA-III,10,21,0.13102633435236022
NSGA-III,11,20,0.04375809124078942
NSGA-III,12,16,0.13038633263891913
NSGA-III,13,20,0.03319123246287357
NSGA-III,14,27,0.04474378906054435
NSGA-III,15,16,0.04884836403440088
Random,1,29,0.08742850666623106
Random,2,25,0.04954488306658875
Random,3,24,0.05357023757261867
Random,4,26,0.04608863330727449
Random,5,16,0.03959966262788958
Random,6,19,0.05765433755905071
Random,7,24,0.05017090646768677
Random,8,14,0.08452410892744933
Random,9,25,0.08330877053615549
Random,10,24,0.053940919335178056
Random,11,16,0.08286991941856921
Random,12,17,0.03491421200916621
Random,13,21,0.056995776037293375
Random,14,21,0.21605995158832988
Random,15,21,0.057422576629010694
