method,run,IGD_plus,LOO_IGD,pooled_reference_size,loo_reference_size
NSGA-II,1,0.04734658673490429,0.04426907380588683,28,46
NSGA-II,2,0.03617621143431167,0.044432449120498325,28,46
NSGA-II,3,0.04511067244839482,0.05312712476703302,28,46
NSGA-II,4,0.03974427127294761,0.057542882582894424,28,46
NSGA-II,5,0.05024983311902122,0.04798396867847143,28,46
NSGA-II,6,0.02437889257010665,0.051980602063599377,28,46
NSGA-II,7,0.058384583182178,0.05341361240632882,28,46
NSGA-II,8,0.036276342100065785,0.07027746752038927,28,46
NSGA-II,9,0.04101970730387437,0.07348061486770578,28,46
NSGA-II,10,0.04495312540810652,0.0592198239305213,28,46
NSGA-II,11,0.04011845039152097,0.04972311662647049,28,46
NSGA-II,12,0.014946718906277804,0.11329949284481339,28,46
NSGA-II,13,0.04554455764267111,0.05540627798861263,28,46
NSGA-II,14,0.04648590017641764,0.05761603082685731,28,46
NSGA-II,15,0.036305548334887645,0.040387982601924124,28,46
NSGA-III,1,0.04890899129877354,0.06323886000765193,28,26
NSGA-III,2,0.05601229553392526,0.06519142536180036,28,26
NSGA-III,3,0.05008302143623604,0.07011058976133305,28,26
NSGA-III,4,0.054316152075756255,0.08342294673022083,28,26
NSGA-III,5,0.05859386498068525,0.06912496984874497,28,26
NSGA-III,6,0.03304072647017075,0.06777158971706634,28,26
NSGA-III,7,0.04982100564332317,0.0714289568358194,28,26
NSGA-III,8,0.04669605758983334,0.06197318770718548,28,26
NSGA-III,9,0.0781762347731858,0.1053861467504125,28,26
NSGA-III,10,0.07124033131623325,0.0921359924052186,28,26
NSGA-III,11,0.06615465394796473,0.0954816325173393,28,26
NSGA-III,12,0.07519751354674586,0.09703005182943611,28,26
NSGA-III,13,0.06551867696061056,0.09393152304211551,28,26
NSGA-III,14,0.06941681834881124,0.08683337461985625,28,26
NSGA-III,15,0.069416003767582,0.09541441470661131,28,26
Random,1,0.07516174538517673,0.07847758631026516,28,27
Random,2,0.07199604561268777,0.0981461376453475,28,27
Random,3,0.06429821503514735,0.08848577772332168,28,27
Random,4,0.0819258978441069,0.09240772217273338,28,27
Random,5,0.06839315905240399,0.14091630977522135,28,27
Random,6,0.05731431889165829,0.07518470920645143,28,27
Random,7,0.0850525115172889,0.11018915476964496,28,27
Random,8,0.06572075751927371,0.0778127536835768,28,27
Random,9,0.09209805640807407,0.12143552634647588,28,27
Random,10,0.07172901875911938,0.07369007417978367,28,27
Random,11,0.06374503150937094,0.08371929978845218,28,27
Random,12,0.07477474845576351,0.10172318021455011,28,27
Random,13,0.06685859747890101,0.08401874406826552,28,27
Random,14,0.0655831581856315,0.10292973929601175,28,27
Random,15,0.06802348483124876,0.07977064365005025,28,27
