method,run,evaluation,candidate_id,validation_macro_MAPE,parameters,latency_ms,normalized_objectives
NSGA-II,1,194,L15_D96_N1_H8_LR0.00068579,2.050042092528591,62658,0.3781343936920166,"[0.16165232413581612,0.1768317246220302,0.02588947680552302]"
NSGA-II,2,249,L15_D96_N3_H8_LR0.00190675,1.0297818437776232,211650,0.4258719921112061,"[0.036627966519535454,0.5735068417410617,0.13839667449542645]"
NSGA-II,3,215,L15_D64_N1_H5_LR0.00086873,2.410111111534306,36418,0.3787247896194458,"[0.2057757699466526,0.0,0.027365851074024686]"
NSGA-II,4,155,L15_D128_N2_H5_LR0.00088403,0.8623981380414867,229186,0.4214767932891846,"[0.016116493774505445,0.5994468746723463,0.12857945908727303]"
NSGA-II,4,201,L20_D64_N1_H8_LR0.00142551,2.54760992568728,36418,0.3679296016693115,"[0.22262509925603352,0.0,0.0]"
NSGA-II,4,272,L15_D128_N1_H5_LR0.00094739,1.7558217020989482,97090,0.378163194656372,"[0.12559807684341176,0.3195499338678458,0.025961551436145345]"
NSGA-II,5,271,L20_D160_N1_H8_LR0.00097207,2.121943026129773,139714,0.3740031957626343,"[0.1704631819992913,0.43815695243359176,0.015493837860332978]"
NSGA-II,6,126,L15_D64_N1_H8_LR0.00096179,1.795189648503159,36418,0.3912832021713257,"[0.1304222893086962,0.0,0.05823652679651477]"
NSGA-II,6,138,L15_D64_N1_H8_LR0.00121542,1.7027182841283546,36418,0.4063119888305664,"[0.11909069725361568,0.0,0.0939030609600782]"
NSGA-II,6,196,L15_D128_N3_H8_LR0.00106367,0.9874966733946106,361282,0.4148672103881836,"[0.031446272662205205,0.7477630191039155,0.11362170946261438]"
NSGA-II,6,208,L10_D160_N1_H5_LR0.00013684,2.247309431935645,139714,0.3736304044723511,"[0.18582578616987377,0.43815695243359176,0.014550113658088394]"
NSGA-II,8,45,L15_D64_N2_H5_LR0.00104029,1.4722112992211724,69698,0.4043519973754882,"[0.09084399475847565,0.2115315191415698,0.08932710058262182]"
NSGA-II,9,280,L20_D96_N1_H8_LR0.00138513,1.6168489295573814,62658,0.3791872024536132,"[0.10856812626518053,0.1768317246220302,0.028520577927202754]"
NSGA-II,10,167,L10_D128_N1_H10_LR0.00031610,2.233804607204787,97090,0.3747071981430053,"[0.18417088288538042,0.3195499338678458,0.017273462886103097]"
NSGA-II,11,136,L10_D128_N1_H8_LR0.00014308,2.178236306936104,97090,0.3777343988418579,"[0.1773614525920549,0.3195499338678458,0.02488791873138241]"
NSGA-II,12,32,L15_D96_N1_H3_LR0.00149579,2.346170274100789,62658,0.3749887943267822,"[0.19794035527146636,0.1768317246220302,0.01798436483856296]"
NSGA-II,12,97,L15_D128_N1_H10_LR0.00076330,1.6117292292590886,97090,0.3841023921966552,"[0.10794074982689868,0.3195499338678458,0.04070837065510352]"
NSGA-II,12,118,L15_D64_N1_H10_LR0.00179484,1.9066874237546263,36418,0.3832592010498047,"[0.14408540883484142,0.0,0.038628701431050586]"
NSGA-II,12,221,L15_D64_N1_H3_LR0.00079425,1.9441662338807928,36418,0.37882239818573,"[0.14867812345445242,0.0,0.027609714323671975]"
NSGA-II,12,228,L15_D160_N1_H3_LR0.00200000,1.3640780407493018,139714,0.3771584033966064,"[0.07759316861489947,0.43815695243359176,0.023443803129597533]"
NSGA-II,12,229,L15_D128_N1_H8_LR0.00200000,1.046922130951131,97090,0.3849215984344482,"[0.038728365310775094,0.3195499338678458,0.042724515071799696]"
NSGA-III,2,276,L15_D96_N3_H10_LR0.00171231,0.8663863953299769,211650,0.4361104011535645,"[0.016605221337999534,0.5735068417410617,0.16087803640812348]"
NSGA-III,6,213,L15_D64_N1_H8_LR0.00134034,1.7047773767668182,36418,0.3946336030960083,"[0.11934302182934181,0.0,0.06630499229702518]"
Random,5,225,L15_D96_N2_H5_LR0.00170107,0.9433742006362592,137154,0.4272128105163574,"[0.026039432770316798,0.43213042150216496,0.1413713954050615]"
Random,6,94,L15_D64_N2_H3_LR0.00132500,1.4241341380257475,69698,0.4261343955993652,"[0.08495254088498504,0.2115315191415698,0.13897957559932814]"
Random,6,96,L15_D64_N1_H3_LR0.00189553,1.6893995407268263,36418,0.472540807723999,"[0.11745859667920763,0.0,0.23680006134496076]"
Random,6,206,L15_D64_N2_H10_LR0.00170739,1.3070282981126322,69698,0.4361472129821777,"[0.0706021999536626,0.2115315191415698,0.16095791138279364]"
Random,13,122,L15_D160_N3_H3_LR0.00185235,0.7308796222828491,551874,0.6068992137908935,"[0.0,0.8858256813578881,0.4736059330310853]"
