run,method,run_seed,training_seed,initial_population_n,candidate_ids_identical,canonical_numeric_bytes_identical,all_training_seeds_identical_within_run
1,NSGA-II,20270001,41001,28,True,True,True
1,NSGA-III,20270001,41001,28,True,True,True
1,Random,20270001,41001,28,True,True,True
2,NSGA-II,20270002,41002,28,True,True,True
2,NSGA-III,20270002,41002,28,True,True,True
2,Random,20270002,41002,28,True,True,True
3,NSGA-II,20270003,41003,28,True,True,True
3,NSGA-III,20270003,41003,28,True,True,True
3,Random,20270003,41003,28,True,True,True
4,NSGA-II,20270004,41004,28,True,True,True
4,NSGA-III,20270004,41004,28,True,True,True
4,Random,20270004,41004,28,True,True,True
5,NSGA-II,20270005,41005,28,True,True,True
5,NSGA-III,20270005,41005,28,True,True,True
5,Random,20270005,41005,28,True,True,True
6,NSGA-II,20270006,41006,28,True,True,True
6,NSGA-III,20270006,41006,28,True,True,True
6,Random,20270006,41006,28,True,True,True
7,NSGA-II,20270007,41007,28,True,True,True
7,NSGA-III,20270007,41007,28,True,True,True
7,Random,20270007,41007,28,True,True,True
8,NSGA-II,20270008,41008,28,True,True,True
8,NSGA-III,20270008,41008,28,True,True,True
8,Random,20270008,41008,28,True,True,True
9,NSGA-II,20270009,41009,28,True,True,True
9,NSGA-III,20270009,41009,28,True,True,True
9,Random,20270009,41009,28,True,True,True
10,NSGA-II,20270010,41010,28,True,True,True
10,NSGA-III,20270010,41010,28,True,True,True
10,Random,20270010,41010,28,True,True,True
11,NSGA-II,20270011,41011,28,True,True,True
11,NSGA-III,20270011,41011,28,True,True,True
11,Random,20270011,41011,28,True,True,True
12,NSGA-II,20270012,41012,28,True,True,True
12,NSGA-III,20270012,41012,28,True,True,True
12,Random,20270012,41012,28,True,True,True
13,NSGA-II,20270013,41013,28,True,True,True
13,NSGA-III,20270013,41013,28,True,True,True
13,Random,20270013,41013,28,True,True,True
14,NSGA-II,20270014,41014,28,True,True,True
14,NSGA-III,20270014,41014,28,True,True,True
14,Random,20270014,41014,28,True,True,True
15,NSGA-II,20270015,41015,28,True,True,True
15,NSGA-III,20270015,41015,28,True,True,True
15,Random,20270015,41015,28,True,True,True
