method,run,evaluation,candidate_id,search_stage_best_MAPE,multi_seed_mean,multi_seed_sd,multi_seed_n,multi_seed_source,optimism_gap_pp
NSGA-II,1,204,L15_D192_N3_H10_LR0.00053458,0.8671461800731483,,,,,
NSGA-II,2,255,L15_D128_N3_H5_LR0.00060445,0.937021876284184,,,,,
NSGA-II,3,62,L15_D160_N2_H10_LR0.00180161,1.114710162388774,,,,,
NSGA-II,4,155,L15_D128_N2_H5_LR0.00088403,0.8623981380414867,,,,,
NSGA-II,5,164,L15_D160_N3_H3_LR0.00080160,0.8397732506528004,,,,,
NSGA-II,6,196,L15_D128_N3_H8_LR0.00106367,0.9874966733946106,,,,,
NSGA-II,7,39,L15_D160_N2_H8_LR0.00200000,1.032134130866682,,,,,
NSGA-II,8,173,L15_D128_N3_H3_LR0.00100257,0.9133710859777746,,,,,
NSGA-II,9,103,L15_D160_N3_H8_LR0.00084872,1.015341592949712,,,,,
NSGA-II,10,181,L15_D192_N3_H3_LR0.00088427,0.863873802992505,,,,,
NSGA-II,11,16,L15_D160_N3_H3_LR0.00021597,0.9832139698852482,,,,,
NSGA-II,12,86,L10_D192_N3_H3_LR0.00038483,0.9203695278886596,,,,,
NSGA-II,13,48,L15_D192_N3_H10_LR0.00183894,1.0022259579169064,,,,,
NSGA-II,14,159,L15_D192_N3_H10_LR0.00074539,0.9632944129807468,,,,,
NSGA-II,15,26,L10_D192_N3_H8_LR0.00020006,0.97393851115464,,,,,
NSGA-III,1,160,L15_D160_N3_H5_LR0.00068579,0.8742045635458053,,,,,
NSGA-III,2,150,L15_D160_N3_H3_LR0.00131302,0.8460078671249301,,,,,
NSGA-III,3,229,L15_D160_N2_H5_LR0.00180161,1.114710162388774,,,,,
NSGA-III,4,260,L15_D128_N2_H8_LR0.00088403,0.8623981380414867,,,,,
NSGA-III,5,110,L15_D160_N3_H10_LR0.00080160,0.8397732506528004,,,,,
NSGA-III,6,175,L15_D192_N3_H5_LR0.00043171,1.0346492850669762,,,,,
NSGA-III,7,105,L15_D192_N3_H8_LR0.00200000,0.9944145421017364,,,,,
NSGA-III,8,83,L15_D160_N3_H10_LR0.00167424,0.9019717628331206,,,,,
NSGA-III,9,79,L15_D96_N3_H8_LR0.00191879,1.1225764388993065,,,,,
NSGA-III,10,55,L15_D192_N3_H8_LR0.00086466,0.9521638646298431,,,,,
NSGA-III,11,209,L15_D128_N2_H5_LR0.00181083,0.9090434733306352,,,,,
NSGA-III,12,119,L15_D192_N3_H3_LR0.00165364,0.939386062617832,,,,,
NSGA-III,13,243,L10_D160_N2_H5_LR0.00107110,1.0038631233189417,,,,,
NSGA-III,14,192,L15_D192_N3_H10_LR0.00073963,0.9085686225012686,,,,,
NSGA-III,15,275,L10_D192_N3_H3_LR0.00020006,0.9256278412531568,,,,,
Random,1,53,L15_D192_N3_H3_LR0.00056619,0.8787625542048997,,,,,
Random,2,69,L15_D128_N3_H5_LR0.00072673,0.8681976748634497,,,,,
Random,3,101,L10_D128_N3_H5_LR0.00079032,1.1252314104477883,,,,,
Random,4,161,L10_D160_N3_H15_LR0.00034015,0.9706939736706592,,,,,
Random,5,225,L15_D96_N2_H5_LR0.00170107,0.9433742006362592,,,,,
Random,6,243,L15_D192_N3_H3_LR0.00060233,1.0051440661862308,,,,,
Random,7,170,L10_D192_N3_H15_LR0.00033067,1.0164623160042503,,,,,
Random,8,196,L15_D160_N3_H10_LR0.00145759,0.8262221805074641,,,,,
Random,9,131,L10_D192_N2_H8_LR0.00106659,0.955044993243518,,,,,
Random,10,44,L15_D160_N3_H3_LR0.00045418,1.0126565647379435,,,,,
Random,11,16,L15_D160_N3_H3_LR0.00021597,0.9832139698852482,,,,,
Random,12,92,L10_D192_N3_H5_LR0.00020836,1.057350446237924,,,,,
Random,13,122,L15_D160_N3_H3_LR0.00185235,0.7308796222828491,,,,,
Random,14,39,L15_D192_N3_H10_LR0.00025123,1.1356401582175044,,,,,
Random,15,57,L15_D192_N2_H8_LR0.00135430,0.9469284471629364,,,,,
