fold,variant,protocol,target,MAPE,RMSE,R2,n_eval_rows,n_heldout_cells,seconds,features
1,LSTM_main_full9_teacher_forced,teacher_forced,Q,2.528609214481585,0.09389766593332004,0.915799529162134,188,46,14.07973599433899,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,LSTM_main_full9_teacher_forced,teacher_forced,Re,1.3726177629021905,0.41652421488428615,0.9612049194128652,188,46,14.07973599433899,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,LSTM_main_full9_teacher_forced,teacher_forced,macro_avg,1.9506134886918876,0.2552109404088031,0.9385022242874996,188,46,14.07973599433899,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,LSTM_main_full9_rollout,autoregressive_rollout,Q,2.714132880030049,0.09891296887045896,0.9065646103579811,188,46,14.477465629577637,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,LSTM_main_full9_rollout,autoregressive_rollout,Re,1.468030822506138,0.4337669484468308,0.957926459085781,188,46,14.477465629577637,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,LSTM_main_full9_rollout,autoregressive_rollout,macro_avg,2.0910818512680933,0.26633995865864485,0.932245534721881,188,46,14.477465629577637,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Q,3.7016958554049886,0.13360168239253248,0.8295375287091985,188,46,14.78848934173584,"k_exp,Re0"
1,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,Re,1.0816856267078205,0.3780335788270663,0.9680436694361543,188,46,14.78848934173584,"k_exp,Re0"
1,LSTM_sparse_k_Re0_rollout,autoregressive_rollout,macro_avg,2.3916907410564043,0.2558176306097994,0.8987905990726763,188,46,14.78848934173584,"k_exp,Re0"
1,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Q,5.2735058808113475,0.1584921966069796,0.7601052767730007,188,46,8.357769966125488,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
1,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,Re,2.264223483118375,0.6031543634438028,0.9186508353815843,188,46,8.357769966125488,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
1,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,3.7688646819648612,0.38082328002539123,0.8393780560772925,188,46,8.357769966125488,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean"
1,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Q,3.6449327830175022,0.12307920213282209,0.8553314026545416,188,46,13.914739847183228,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
1,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,Re,1.2630152327325774,0.4209597499834785,0.9603742682638763,188,46,13.914739847183228,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
1,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,autoregressive_rollout,macro_avg,2.45397400787504,0.2720194760581503,0.9078528354592089,188,46,13.914739847183228,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean"
1,PINN_pred_full9,pointwise,Q,6.130241864437554,0.19858161061771534,0.5414086976758595,846,46,1.8809888362884521,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
1,PINN_pred_full9,pointwise,Re,9.07820859195618,2.0747008587583093,0.44900321239330976,846,46,1.8809888362884521,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0"
