model,protocol,variant,target,MAPE,RMSE,R2,n_features,features,seconds,Full9_MAPE,Delta_vs_Full9
LSTM_main,autoregressive_rollout,PINNfeat_no_stress,macro_avg,1.641359279954672,0.12125462226151652,0.9452844184151526,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",10.035391092300415,3.219567453684551,-1.578208173729879
LSTM_main,autoregressive_rollout,k_Re0,macro_avg,2.0209341397613785,0.1850769920730786,0.9303315502152936,2,"k_exp,Re0",5.604367733001709,3.219567453684551,-1.1986333139231724
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Q0_EaStress,macro_avg,2.4538317207928273,0.2483006701381077,0.90313529551443,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",5.031674861907959,3.219567453684551,-0.7657357328917236
LSTM_main,autoregressive_rollout,k_Re0_Rct0_Q0,macro_avg,2.508244490864918,0.2177507324789327,0.9159187530874395,4,"k_exp,Re0,Rct0,Q0",4.444328546524048,3.219567453684551,-0.7113229628196329
LSTM_main,autoregressive_rollout,No_Temperature,macro_avg,2.7220061628399295,0.3583489410303617,0.872535918407483,8,"k_exp,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",5.230932712554932,3.219567453684551,-0.4975612908446214
LSTM_main,autoregressive_rollout,PINNfeat_no_Ea,macro_avg,2.926179594079387,0.2940090707151276,0.8906760561343199,5,"k_exp,Re0,Rct0,Q0,stress",4.811449289321899,3.219567453684551,-0.293387859605164
LSTM_main,autoregressive_rollout,PINNfeat_k_Re0_Rct0_Q0_EaStress,macro_avg,3.0450299284052313,0.45718407281955553,0.8134921395641164,6,"k_exp,Re0,Rct0,Q0,stress,Ea_kJ_mol_mean",4.542780876159668,3.219567453684551,-0.17453752527931954
LSTM_main,autoregressive_rollout,No_NearZero,macro_avg,3.0777031444178125,0.3887654719053111,0.8692432697078327,6,"k_exp,temperature,c_rate_chg,Q0,Re0,Rct0",4.293711185455322,3.219567453684551,-0.14186430926673843
LSTM_main,autoregressive_rollout,Full9,macro_avg,3.219567453684551,0.41144670178007364,0.8378054465095413,9,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",8.558505296707153,3.219567453684551,0.0
LSTM_main,autoregressive_rollout,No_c_rate_chg,macro_avg,3.3128852225362344,0.42931597066889626,0.8331566447979972,8,"k_exp,temperature,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",4.392944097518921,3.219567453684551,0.09331776885168352
LSTM_main,autoregressive_rollout,No_Q0,macro_avg,3.5959626233651063,0.5455703166214482,0.7559574355279081,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Re0,Rct0",3.9056007862091064,3.219567453684551,0.3763951696805554
LSTM_main,autoregressive_rollout,No_Re0,macro_avg,3.6974594556386906,0.525495721570811,0.7711132509968914,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Rct0",4.663566589355469,3.219567453684551,0.4778920019541397
LSTM_main,autoregressive_rollout,No_Rct0,macro_avg,3.7949250908293233,0.42607937488564107,0.8128948417953468,8,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0",4.135108232498169,3.219567453684551,0.5753576371447724
LSTM_main,autoregressive_rollout,k_Re0_Q0,macro_avg,3.901775176878763,0.43888937850475485,0.7689988626064125,3,"k_exp,Re0,Q0",4.0782225131988525,3.219567453684551,0.6822077231942121
LSTM_main,autoregressive_rollout,No_k_exp,macro_avg,4.403947855431854,0.5396640653996707,0.7392215205473239,8,"temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0,Re0,Rct0",3.8171615600585938,3.219567453684551,1.184380401747303
LSTM_main,autoregressive_rollout,No_Re0_Rct0,macro_avg,4.491061857887668,0.714742358234198,0.6204392470439448,7,"k_exp,temperature,c_rate_chg,c_rate_dischg,soc_window,age_type,Q0",4.039651393890381,3.219567453684551,1.2714944042031169
LSTM_main,teacher_forced,PINNfeat_no_stress,macro_avg,1.2359847796430552,0.1041098374929352,0.9647265878621001,5,"k_exp,Re0,Rct0,Q0,Ea_kJ_mol_mean",9.876408576965332,3.1100119909600097,-1.8740272113169545
LSTM_main,teacher_forced,k_Re0,macro_avg,1.7915940331582747,0.16055288066104717,0.9425591379772793,2,"k_exp,Re0",5.446133136749268,3.1100119909600097,-1.318417957801735
LSTM_main,teacher_forced,PINNfeat_k_Re0_Q0_EaStress,macro_avg,2.253990247317021,0.23079015586624993,0.9142363653411238,5,"k_exp,Re0,Q0,stress,Ea_kJ_mol_mean",4.871801853179932,3.1100119909600097,-0.8560217436429887
LSTM_main,teacher_forced,k_Re0_Rct0_Q0,macro_avg,2.372397955307973,0.21316048263063828,0.921999376846622,4,"k_exp,Re0,Rct0,Q0",4.286168813705444,3.1100119909600097,-0.7376140356520366
