Model,Protocol,Split,Target,MAPE,MAE,RMSE,R2,n,n_cells
NormSOH_LSTM_base,teacher_forced,Luh_test,SOH,0.8195349662428403,0.006098767363776014,0.008526853829115,0.9913021933303752,76,21
NormSOH_LSTM_base,teacher_forced_restored,Luh_test,Q,0.8195349662428408,0.018003259425447032,0.025184350733016298,0.9914495585368178,76,21
NormSOH_LSTM_base,autoregressive_rollout,Luh_test,SOH,1.1511673322254299,0.008600704549868656,0.012434144319424557,0.981504591775549,76,10
NormSOH_LSTM_base,autoregressive_rollout_restored,Luh_test,Q,1.151167332225429,0.025389674330218704,0.03672304001382,0.9818195649325183,76,10
NormSOH_PINNfeat_LSTM,teacher_forced,Luh_test,SOH,1.021173950157227,0.0074779640227093,0.012362976539893936,0.981715705655928,76,21
NormSOH_PINNfeat_LSTM,teacher_forced_restored,Luh_test,Q,1.0211739501572268,0.022066152548069474,0.03646679827000809,0.9820723943994113,76,21
NormSOH_PINNfeat_LSTM,autoregressive_rollout,Luh_test,SOH,1.2550310465653962,0.009311158803037109,0.014931075314484673,0.9733305360838966,76,10
NormSOH_PINNfeat_LSTM,autoregressive_rollout_restored,Luh_test,Q,1.2550310465653958,0.027468116034179868,0.044026928973943155,0.9738685321066037,76,10
NormSOH_LSTM_base,BOL_seeded_rollout,Kirkaldy_external,SOH,6.082495275262754,0.04952576264051422,0.05979457548487484,-0.2255420846740439,120,8
NormSOH_LSTM_base,BOL_seeded_rollout_restored,Kirkaldy_external,Q,6.082495275262754,0.24095997321483845,0.2911484772945821,-0.24886520884501717,120,8
NormSOH_PINNfeat_LSTM,BOL_seeded_rollout,Kirkaldy_external,SOH,5.206538229471105,0.044244504090171395,0.054121774521238106,-0.0040346727187534626,120,8
NormSOH_PINNfeat_LSTM,BOL_seeded_rollout_restored,Kirkaldy_external,Q,5.206538229471106,0.21509559564925423,0.2631447402376703,-0.020177893280317383,120,8
BOL_persistence,no_degradation_baseline,Kirkaldy_external,SOH,18.44399101266537,0.15230063191742355,0.16159479639756652,-7.950749417309755,120,8
BOL_persistence,no_degradation_baseline_restored,Kirkaldy_external,Q,18.44399101266537,0.7404585146416668,0.7858035051206679,-8.097340379720409,120,8
NormSOH_PINNfeat_ExtraTrees,pointwise_external,Kirkaldy_external,SOH,12.113088950884743,0.09925382656068807,0.1137240750024907,-2.1589232981989817,128,8
NormSOH_PINNfeat_ExtraTrees,pointwise_external_restored,Kirkaldy_external,Q,12.113088950884743,0.48262300446466394,0.5531451326564166,-2.194747192166311,128,8
