model,split,target,MAPE,RMSE,NRMSE,R2,Q_monotonic_violations,Re_monotonic_violations,monotonic_steps_checked,Q_violation_rate,Re_violation_rate
LSTM_v4_rebuilt_full,val,Q,2.066052138497497,0.06711183531806454,0.057695872940233,0.9450414280264721,0,24,54,0.0,0.4444444444444444
LSTM_v4_rebuilt_full,val,Re,1.7583748500235463,0.6938518440823543,0.09990423714460567,0.8303922586018777,0,24,54,0.0,0.4444444444444444
LSTM_v4_rebuilt_full,val,macro_avg,1.9122134942605218,0.38048183970020943,0.07880005504241933,0.8877168433141749,0,24,54,0.0,0.4444444444444444
LSTM_v4_rebuilt_full,test,Q,2.5400421593026064,0.09332947491631198,0.08370875131351782,0.8825738963763328,0,14,66,0.0,0.21212121212121213
LSTM_v4_rebuilt_full,test,Re,0.8457045692195264,0.23403610523763624,0.02856769894521497,0.981046356287717,0,14,66,0.0,0.21212121212121213
LSTM_v4_rebuilt_full,test,macro_avg,1.6928733642610663,0.16368279007697412,0.05613822512936639,0.9318101263320249,0,14,66,0.0,0.21212121212121213
Hybrid_A_physics_features,val,Q,2.849748653653719,0.09514714793346125,0.08179775649766204,0.8895339749478544,5,11,54,0.09259259259259259,0.2037037037037037
Hybrid_A_physics_features,val,Re,1.5696261495981028,0.49752672746643173,0.07163636821614129,0.912794279388758,5,11,54,0.09259259259259259,0.2037037037037037
Hybrid_A_physics_features,val,macro_avg,2.209687401625911,0.2963369376999465,0.07671706235690166,0.9011641271683062,5,11,54,0.09259259259259259,0.2037037037037037
Hybrid_A_physics_features,test,Q,3.7337319071915225,0.12498499735565075,0.11210111627282303,0.7894075496778494,0,29,66,0.0,0.4393939393939394
Hybrid_A_physics_features,test,Re,0.9564806480535984,0.2848550564504123,0.03477092993751985,0.9719214418083136,0,29,66,0.0,0.4393939393939394
Hybrid_A_physics_features,test,macro_avg,2.3451062776225604,0.20492002690303152,0.07343602310517144,0.8806644957430816,0,29,66,0.0,0.4393939393939394
Hybrid_B_PINN_LSTM_light,val,Q,3.515102114651257,0.11399349385338431,0.09799991890338136,0.8414386353145691,5,19,54,0.09259259259259259,0.35185185185185186
Hybrid_B_PINN_LSTM_light,val,Re,2.428893059653063,0.8602621181380599,0.12386481267726353,0.7392803554474889,5,19,54,0.09259259259259259,0.35185185185185186
Hybrid_B_PINN_LSTM_light,val,macro_avg,2.97199758715216,0.4871278059957221,0.11093236579032245,0.790359495381029,5,19,54,0.09259259259259259,0.35185185185185186
Hybrid_B_PINN_LSTM_light,test,Q,3.5021011694741215,0.11267382451615046,0.10105902896253542,0.8288514731627666,0,29,66,0.0,0.4393939393939394
Hybrid_B_PINN_LSTM_light,test,Re,1.546115201470671,0.562478727362309,0.06865916023391089,0.8905188964992078,0,29,66,0.0,0.4393939393939394
Hybrid_B_PINN_LSTM_light,test,macro_avg,2.524108185472396,0.33757627593922973,0.08485909459822316,0.8596851848309872,0,29,66,0.0,0.4393939393939394
Hybrid_B_PINN_LSTM_strong,val,Q,3.515102114651257,0.11399349385338431,0.09799991890338136,0.8414386353145691,5,19,54,0.09259259259259259,0.35185185185185186
Hybrid_B_PINN_LSTM_strong,val,Re,2.428893059653063,0.8602621181380599,0.12386481267726353,0.7392803554474889,5,19,54,0.09259259259259259,0.35185185185185186
Hybrid_B_PINN_LSTM_strong,val,macro_avg,2.97199758715216,0.4871278059957221,0.11093236579032245,0.790359495381029,5,19,54,0.09259259259259259,0.35185185185185186
Hybrid_B_PINN_LSTM_strong,test,Q,3.5021011694741215,0.11267382451615046,0.10105902896253542,0.8288514731627666,0,29,66,0.0,0.4393939393939394
Hybrid_B_PINN_LSTM_strong,test,Re,1.546115201470671,0.562478727362309,0.06865916023391089,0.8905188964992078,0,29,66,0.0,0.4393939393939394
Hybrid_B_PINN_LSTM_strong,test,macro_avg,2.524108185472396,0.33757627593922973,0.08485909459822316,0.8596851848309872,0,29,66,0.0,0.4393939393939394
Hybrid_C_minimal_phys,val,Q,3.4472314278151126,0.12616548492500965,0.10846414947315275,0.8057690776591453,4,41,54,0.07407407407407407,0.7592592592592593
Hybrid_C_minimal_phys,val,Re,2.8076133432080295,1.0933851450956096,0.15743102732788908,0.578828947614966,4,41,54,0.07407407407407407,0.7592592592592593
Hybrid_C_minimal_phys,val,macro_avg,3.1274223855115713,0.6097753150103096,0.1329475884005209,0.6922990126370556,4,41,54,0.07407407407407407,0.7592592592592593
Hybrid_C_minimal_phys,test,Q,5.200780692151104,0.16805522932517053,0.1507315236408036,0.6192577240044055,0,38,66,0.0,0.5757575757575758
Hybrid_C_minimal_phys,test,Re,2.3727189412334924,0.734671796519733,0.08967796056545826,0.8132271964735873,0,38,66,0.0,0.5757575757575758
Hybrid_C_minimal_phys,test,macro_avg,3.786749816692298,0.4513635129224518,0.12020474210313094,0.7162424602389964,0,38,66,0.0,0.5757575757575758
