model,split,target,MAPE,RMSE,NRMSE,R2,Q_monotonic_violations,Re_monotonic_violations,monotonic_steps_checked,Q_violation_rate,Re_violation_rate
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,val,Q,2.229393864419585,0.10182834640848798,0.08754157504541041,0.8734754927289727,0,13,54,0.0,0.24074074074074073
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,val,Re,0.8024955586599596,0.258890125046477,0.0372762869848868,0.9763874359883338,0,13,54,0.0,0.24074074074074073
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,val,macro_avg,1.5159447115397724,0.1803592357274825,0.062408931015148605,0.9249314643586533,0,13,54,0.0,0.24074074074074073
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,test,Q,2.5874144713417597,0.10344924237769891,0.09278534303221526,0.8557281240928816,0,19,66,0.0,0.2878787878787879
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,test,Re,0.6889884765709664,0.2643162518241993,0.03226385645283516,0.9758245400719693,0,19,66,0.0,0.2878787878787879
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,test,macro_avg,1.638201473956363,0.18388274710094912,0.06252459974252521,0.9157763320824255,0,19,66,0.0,0.2878787878787879
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,val,Q,2.0663792143113104,0.08610175160905668,0.07402145724912211,0.9095390375972492,0,14,54,0.0,0.25925925925925924
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,val,Re,1.6122919475973754,0.6990052861694608,0.10064625076269602,0.8278634645938607,0,14,54,0.0,0.25925925925925924
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,val,macro_avg,1.839335580954343,0.3925535188892587,0.08733385400590907,0.868701251095555,0,14,54,0.0,0.25925925925925924
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,test,Q,3.3287008503968805,0.11218839512204921,0.10062363465413286,0.8303230205072478,0,15,66,0.0,0.22727272727272727
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,test,Re,0.5738812002670302,0.2086445014448946,0.025468263860765568,0.9849359803703972,0,15,66,0.0,0.22727272727272727
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,test,macro_avg,1.9512910253319553,0.1604164482834719,0.06304594925744922,0.9076295004388225,0,15,66,0.0,0.22727272727272727
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,val,Q,2.437348480613131,0.10000475317119314,0.08597383025920818,0.8779666612006876,0,20,54,0.0,0.37037037037037035
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,val,Re,0.6712617174021287,0.24439709734219245,0.03518950729889346,0.9789571660917343,0,20,54,0.0,0.37037037037037035
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,val,macro_avg,1.55430509900763,0.17220092525669278,0.06058166877905082,0.9284619136462109,0,20,54,0.0,0.37037037037037035
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,test,Q,3.4688817296069088,0.12350072871024091,0.11076985575666297,0.794379645411729,0,26,66,0.0,0.3939393939393939
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,test,Re,0.5472722005106042,0.14086535893327595,0.0171947795214974,0.9931335001552293,0,26,66,0.0,0.3939393939393939
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,test,macro_avg,2.0080769650587564,0.13218304382175844,0.06398231763908019,0.8937565727834791,0,26,66,0.0,0.3939393939393939
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,val,Q,2.44566048937342,0.11346724877405798,0.09754750272931649,0.842899251668994,0,17,54,0.0,0.3148148148148148
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,val,Re,0.9837325285169917,0.3254129752443476,0.046854575578095234,0.9626937263530777,0,17,54,0.0,0.3148148148148148
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,val,macro_avg,1.714696508945206,0.21944011200920277,0.07220103915370586,0.9027964890110358,0,17,54,0.0,0.3148148148148148
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,test,Q,3.557077186844716,0.14697444952697694,0.13182382281533714,0.7087870210613826,0,28,66,0.0,0.42424242424242425
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,test,Re,0.8888633634446274,0.27431388465425843,0.03348422090650638,0.9739611027126024,0,28,66,0.0,0.42424242424242425
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,test,macro_avg,2.2229702751446716,0.21064416709061767,0.08265402186092176,0.8413740618869925,0,28,66,0.0,0.42424242424242425
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,val,Q,1.610884152452878,0.07932807139585892,0.06819814274419496,0.9232124099689528,0,19,54,0.0,0.35185185185185186
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,val,Re,0.8349346456755761,0.26449487601691146,0.03808328736953508,0.9753539846464364,0,19,54,0.0,0.35185185185185186
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,val,macro_avg,1.222909399064227,0.17191147370638518,0.05314071505686502,0.9492831973076946,0,19,54,0.0,0.35185185185185186
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,test,Q,3.057292227711657,0.11444447422859864,0.1026471517141715,0.8234300763374283,0,25,66,0.0,0.3787878787878788
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,test,Re,0.6905772259495416,0.2198451929919421,0.026835481422924523,0.9832751984507444,0,25,66,0.0,0.3787878787878788
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,test,macro_avg,1.8739347268305993,0.16714483361027038,0.06474131656854801,0.9033526373940863,0,25,66,0.0,0.3787878787878788
