model,train_time_s
PINNfeat_k_Re0_Q0_EaStress_seed42,25.021686553955078
PINNfeat_k_Re0_Q0_EaStress_seed52,26.007127046585083
PINNfeat_k_Re0_Q0_EaStress_seed62,22.816326141357422
PINNfeat_k_Re0_Q0_EaStress_seed72,27.450783729553223
PINNfeat_k_Re0_Q0_EaStress_seed82,23.060680627822876
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed42,23.33321189880371
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed52,23.214259147644043
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed62,22.8032443523407
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed72,23.65251851081848
PINNfeat_k_Re0_Rct0_Q0_EaStress_seed82,23.21953272819519
