method,evaluations,mean_hv,sd_hv,n_runs
NSGA-II,28,1.0877991091679058,0.06103769351526686,15
NSGA-II,56,1.135918638856157,0.02972121006160583,15
NSGA-II,84,1.1550147963748607,0.027653380439630806,15
NSGA-II,112,1.166242158393871,0.02738327724898559,15
NSGA-II,140,1.1728476464966455,0.024213942367833505,15
NSGA-II,168,1.1788172166528494,0.02139544936848727,15
NSGA-II,196,1.1834820339902117,0.019727594010391945,15
NSGA-II,224,1.1915493162041844,0.0199383710796631,15
NSGA-II,252,1.1933096591898509,0.02109587280510506,15
NSGA-II,280,1.197236167548764,0.018458037917219405,15
NSGA-III,28,1.0622665834079301,0.07281000959212024,15
NSGA-III,56,1.1031250741121503,0.03200900894206117,15
NSGA-III,84,1.119042645988311,0.025338327389089556,15
NSGA-III,112,1.1296811411718581,0.026469517242683472,15
NSGA-III,140,1.1362294196327436,0.027672064495663933,15
NSGA-III,168,1.1406072261024782,0.02631592032877069,15
NSGA-III,196,1.144736906583685,0.024871002250102248,15
NSGA-III,224,1.1472657521104503,0.02558678656573924,15
NSGA-III,252,1.1514379429586605,0.027649597652735693,15
NSGA-III,280,1.157910513211642,0.024418660082656925,15
Random,28,1.045499811605756,0.06113064174878959,15
Random,56,1.0889406376728374,0.025985242816707728,15
Random,84,1.1012452056415158,0.02295514310367241,15
Random,112,1.1162607623657008,0.020635073295945293,15
Random,140,1.122770634642253,0.01877391311066682,15
Random,168,1.128642604825747,0.014413608502223509,15
Random,196,1.1328467149590618,0.015036086609640347,15
Random,224,1.1352524305370362,0.014896509130977204,15
Random,252,1.1392059136381438,0.015292454367389486,15
Random,280,1.1410185303699174,0.016368085043659043,15
