method,run_id,reached,first_passage_evaluations
NSGA-II,1,True,74.0
NSGA-II,2,True,23.0
NSGA-II,3,True,58.0
NSGA-II,4,True,87.0
NSGA-II,5,True,35.0
NSGA-II,6,True,48.0
NSGA-II,7,True,223.0
NSGA-II,8,True,25.0
NSGA-II,9,True,118.0
NSGA-II,10,True,72.0
NSGA-II,11,True,61.0
NSGA-II,12,True,32.0
NSGA-II,13,True,48.0
NSGA-II,14,True,94.0
NSGA-II,15,True,70.0
NSGA-III,1,True,86.0
NSGA-III,2,True,162.0
NSGA-III,3,True,34.0
NSGA-III,4,True,94.0
NSGA-III,5,True,127.0
NSGA-III,6,True,110.0
NSGA-III,7,True,111.0
NSGA-III,8,True,63.0
NSGA-III,9,False,
NSGA-III,10,False,
NSGA-III,11,True,209.0
NSGA-III,12,False,
NSGA-III,13,False,
NSGA-III,14,False,
NSGA-III,15,True,255.0
Random,1,False,
Random,2,True,64.0
Random,3,True,188.0
Random,4,True,247.0
Random,5,True,161.0
Random,6,True,106.0
Random,7,False,
Random,8,True,123.0
Random,9,False,
Random,10,True,262.0
Random,11,False,
Random,12,False,
Random,13,False,
Random,14,False,
Random,15,True,182.0
