method,run_id,evaluation_id,candidate_id,validation_macro_MAPE,parameter_count,latency_ms,normalised_mape,normalised_log_params,normalised_log_latency
NSGA-II,1,194,L15_D96_N1_H8_LR0.00068579,2.050042092528591,62658,0.3781343936920166,0.16165232413329225,0.1768317246094082,0.025889476750516588
NSGA-II,2,249,L15_D96_N3_H8_LR0.00190675,1.0297818437776232,211650,0.4258719921112061,0.0366279665173381,0.5735068417441584,0.13839667445443046
NSGA-II,3,215,L15_D64_N1_H5_LR0.00086873,2.410111111534306,36418,0.3787247896194458,0.2057757699440135,-1.9629229759441708e-11,0.027365851019202105
NSGA-II,4,155,L15_D128_N2_H5_LR0.00088403,0.8623981380414867,229186,0.4214767932891846,0.016116493772361653,0.5994468746764708,0.12857945904505452
NSGA-II,4,201,L20_D64_N1_H8_LR0.00142551,2.54760992568728,36418,0.3679296016693115,0.22262509925335044,-1.9629229759441708e-11,-5.823043677603449e-11
NSGA-II,4,272,L15_D128_N1_H5_LR0.00094739,1.7558217020989482,97090,0.378163194656372,0.12559807684098206,0.3195499338608792,0.025961551381147887
NSGA-II,5,271,L20_D160_N1_H8_LR0.00097207,2.121943026129773,139714,0.3740031957626343,0.17046318199674446,0.4381569524313251,0.015493837804031982
NSGA-II,6,126,L15_D64_N1_H8_LR0.00096179,1.795189648503159,36418,0.3912832021713257,0.1304222893062539,-1.9629229759441708e-11,0.05823652674553649
NSGA-II,6,138,L15_D64_N1_H8_LR0.00121542,1.7027182841283546,36418,0.4063119888305664,0.11909069725120297,-1.9629229759441708e-11,0.09390306091354146
NSGA-II,6,196,L15_D128_N3_H8_LR0.00106367,0.9874966733946106,361282,0.4148672103881836,0.031446272660021375,0.7477630191139174,0.1136217094185332
NSGA-II,6,208,L10_D160_N1_H5_LR0.00013684,2.247309431935645,139714,0.3736304044723511,0.1858257861672868,0.4381569524313251,0.014550113601669877
NSGA-II,8,45,L15_D64_N2_H5_LR0.00104029,1.4722112992211724,69698,0.4043519973754882,0.0908439947561367,0.2115315191303228,0.08932710053551525
NSGA-II,9,280,L20_D96_N1_H8_LR0.00138513,1.6168489295573814,62658,0.3791872024536132,0.1085681262627953,0.1768317246094082,0.02852057787252397
NSGA-II,10,167,L10_D128_N1_H10_LR0.00031610,2.233804607204787,97090,0.3747071981430053,0.18417088288279776,0.3195499338608792,0.017273462830023716
NSGA-II,11,136,L10_D128_N1_H8_LR0.00014308,2.178236306936104,97090,0.3777343988418579,0.17736145258949002,0.3195499338608792,0.024887918676251255
NSGA-II,12,32,L15_D96_N1_H3_LR0.00149579,2.346170274100789,62658,0.3749887943267822,0.19794035526884773,0.1768317246094082,0.017984364782572107
NSGA-II,12,97,L15_D128_N1_H10_LR0.00076330,1.6117292292590886,97090,0.3841023921966552,0.10794074982451508,0.3195499338608792,0.040708370601942476
NSGA-II,12,118,L15_D64_N1_H10_LR0.00179484,1.9066874237546263,36418,0.3832592010498047,0.14408540883236345,-1.9629229759441708e-11,0.03862870137763056
NSGA-II,12,221,L15_D64_N1_H3_LR0.00079425,1.9441662338807928,36418,0.37882239818573,0.14867812345196244,-1.9629229759441708e-11,0.027609714268879763
NSGA-II,12,228,L15_D160_N1_H3_LR0.00200000,1.3640780407493018,139714,0.3771584033966064,0.07759316861259513,0.4381569524313251,0.02344380307428654
NSGA-II,12,229,L15_D128_N1_H8_LR0.00200000,1.046922130951131,97090,0.3849215984344482,0.03872836530857225,0.3195499338608792,0.04272451501888972
NSGA-III,2,276,L15_D96_N3_H10_LR0.00171231,0.8663863953299769,211650,0.4361104011535645,0.016605221335854466,0.5735068417441584,0.1608780363699271
NSGA-III,6,213,L15_D64_N1_H8_LR0.00134034,1.7047773767668182,36418,0.3946336030960083,0.11934302182692844,-1.9629229759441708e-11,0.06630499224705166
Random,5,225,L15_D96_N2_H5_LR0.00170107,0.9433742006362592,137154,0.4272128105163574,0.026039432768147092,0.43213042149965947,0.14137139536443596
Random,6,94,L15_D64_N2_H3_LR0.00132500,1.4241341380257475,69698,0.4261343955993652,0.08495254088266149,0.2115315191303228,0.13897957555840476
Random,6,96,L15_D64_N1_H3_LR0.00189553,1.6893995407268263,36418,0.472540807723999,0.11745859667679918,-1.9629229759441708e-11,0.2368000613162189
Random,6,206,L15_D64_N2_H10_LR0.00170739,1.3070282981126322,69698,0.4361472129821777,0.07060219995137651,0.2115315191303228,0.1609579113446072
Random,13,122,L15_D160_N3_H3_LR0.00185235,0.7308796222828491,551874,0.6068992137908935,-2.1017051041047424e-12,0.8858256813733608,0.47360593303183274
