configuration,seed,L,hidden,layers,H,lr,validation_macro_MAPE,Q_MAPE,Q_RMSE,Q_R2,Re_MAPE,Re_RMSE,Re_R2,macro_MAPE,parameters,latency_ms,train_seconds,inference_ms_per_trajectory
Manual,42,20,192,2,8,0.001,1.9726532911047312,2.5902834091822693,0.09844459445011026,0.869349585271213,0.6417389115355272,0.1658061053636176,0.9904867697008986,1.6160111603588982,486978,0.6936575889587402,16.916358048998518,7.882772501761791
Manual,52,20,192,2,8,0.001,1.7525081558685867,3.0967453108411767,0.10832824221005453,0.8417985584640244,0.9330436346026508,0.2811481227296737,0.9726474796422091,2.0148944727219136,486978,0.6954768180847168,14.537676623000152,8.220716200230527
Manual,62,20,192,2,8,0.001,1.7955663587437392,2.8535174520929454,0.11598856589231427,0.8186333623263681,0.8452179795054354,0.3029609224455425,0.9682385586416348,1.8493677157991903,486978,0.6943823814392089,19.808139166001638,7.976138300364255
Manual,72,20,192,2,8,0.001,1.7877526021869565,2.8577651734779477,0.10010459070796766,0.8649063197941583,1.3151090274186832,0.4035341863349586,0.9436508149170711,2.0864371004483155,486978,0.6963200092315673,14.451472788998217,7.7700427020317875
Manual,82,20,192,2,8,0.001,1.1635368912391053,2.5164341176708,0.0917505447505605,0.8865134621356207,0.574307468805214,0.15015133024069974,0.9921983701340346,1.545370793238007,486978,0.6947728157043457,15.706054100999609,8.056666999982554
Manual,92,20,192,2,8,0.001,1.6019565712575587,2.9742057468271215,0.10537264324344925,0.8503134451317724,0.705583077175981,0.21816575230316873,0.9835297524812627,1.8398944120015512,486978,0.6983871936798096,13.598970996001299,8.04524709819816
Manual,102,20,192,2,8,0.001,1.8140506516611714,3.458658521498791,0.13837784202751668,0.7418571197437085,1.0468791365950114,0.2850454936618814,0.9718838835727732,2.252768829046901,486978,0.6945231914520263,15.40553781899871,7.996654097223655
Manual,112,20,192,2,8,0.001,1.26089348089453,2.9305421389744404,0.10447171837120474,0.8528621111330753,0.6249105614959872,0.18617521386040167,0.9880058162829386,1.7777263502352139,486978,0.6963119983673096,22.759655425998062,7.89936989749549
Manual,122,20,192,2,8,0.001,2.126544092664589,2.9322488737186214,0.10755114749187142,0.8440601396520254,0.9849037299474669,0.30746940547412355,0.9672862153748905,1.9585763018330442,486978,0.6953983783721924,14.306353133000812,8.015401099328301
Manual,132,20,192,2,8,0.001,1.1506744759891832,2.255465272954836,0.0809584696176819,0.9116408307092362,0.9796756432454541,0.25938444035556124,0.9767182932265529,1.617570458100145,486978,0.6966271877288819,17.33340054099972,8.020463000502787
NSGA-II,42,15,64,1,8,0.0012154215815531,1.945599893431377,2.8521764371740783,0.11101305033408397,0.833859651802866,0.8981583919523451,0.21730480015839335,0.9836594897582812,1.8751674145632118,36418,0.4253680229187012,6.363855446998059,4.907844403351191
NSGA-II,52,15,64,1,8,0.0012154215815531,2.277169960837134,3.254546918100607,0.127320071836769,0.7814651047318957,0.8954901087332754,0.20968719332167676,0.9847850409690675,2.075018513416941,36418,0.4502255916595459,5.813607492997107,5.088892201820272
NSGA-II,62,15,64,1,8,0.0012154215815531,2.759859656546356,3.286813259383181,0.1481586862797984,0.7040752555814809,0.880946904086662,0.22644272025690357,0.982256319827115,2.0838800817349217,36418,0.4132095813751221,6.370173926999996,4.990479497791966
NSGA-II,72,15,64,1,8,0.0012154215815531,2.1773551685040564,2.153400011778746,0.09165211642646282,0.8867568241367434,0.5117188933019562,0.13451604607346712,0.9937385464877639,1.332559452540351,36418,0.43765602111816404,6.632902523000666,4.812898797536036
NSGA-II,82,15,64,1,8,0.0012154215815531,2.6344280674710125,3.0597246258512327,0.13267228820759916,0.7627056032749171,0.6680834037361516,0.14942568492602398,0.9922735947291287,1.8639040147936923,36418,0.41861281394958494,5.236780489998637,5.183360300361528
NSGA-II,92,15,64,1,8,0.0012154215815531,1.8848466741405088,3.265315184903572,0.159034206260654,0.6590363075534853,1.1587525824024258,0.2896531489577959,0.9709675636548634,2.212033883652999,36418,0.4605247974395752,6.564275073000317,5.526623799596564
NSGA-II,102,15,64,1,8,0.0012154215815531,1.8945671442454945,1.4742569708888538,0.08117147930104089,0.9111752557253485,0.7440998292991362,0.18122211830322282,0.9886355249618346,1.109178400093995,36418,0.4183216094970703,6.395659236000938,6.080194703463349
NSGA-II,112,15,64,1,8,0.0012154215815531,2.9852532217067074,2.3644195891236444,0.12566250722556638,0.7871182237112453,0.6044751292662296,0.13796213543078037,0.9934136199068437,1.484447359194937,36418,0.4113903999328613,5.993126362001931,4.992587200831622
NSGA-II,122,15,64,1,8,0.0012154215815531,1.8297697664572923,3.3656682047006905,0.14709465330122778,0.7083104851057721,0.8071901206248188,0.19065071323149857,0.9874222243893522,2.0864291626627547,36418,0.4223951816558838,6.1385896949977905,5.043196900442126
NSGA-II,132,15,64,1,8,0.0012154215815531,1.7562546277901276,3.0707492490859116,0.1281095804579115,0.7787464426302355,0.8786493786204103,0.24170908469398936,0.9797831764103929,1.974699313853161,36418,0.39057919979095457,6.758387947000301,5.052068996883463
NSGA-III,42,20,64,1,8,0.0008687297435776,2.383836521988257,3.3774702072982326,0.15189691423978746,0.6889537664042301,0.8457519786708707,0.19730326854922683,0.9865291334526403,2.1116110929845515,36418,0.40746397972106935,4.456143332998181,4.942385399044724
NSGA-III,52,20,64,1,8,0.0008687297435776,1.7873958393093743,2.4936596421134873,0.11029550947898945,0.8360004310697942,1.2394256672542343,0.34300581258201923,0.9592872973535584,1.8665426546838608,36418,0.4084735870361328,4.9694486999978835,4.960965799182304
NSGA-III,62,20,64,1,8,0.0008687297435776,2.187308193749195,2.843895784309795,0.10832352772312277,0.8418123281400369,0.889474087138052,0.17715419400497515,0.9891399993619255,1.8666849357239235,36418,0.4526080131530762,4.460956150000129,5.178562800574582
NSGA-III,72,20,64,1,8,0.0008687297435776,2.0545930228425924,2.3708280339974923,0.1166949539376223,0.8164175345108491,1.0401314707526077,0.3420828323189876,0.9595061068453458,1.70547975237505,36418,0.42810559272766113,4.356312618998345,4.959599900394096
NSGA-III,82,20,64,1,8,0.0008687297435776,2.2512085155110717,2.8072464573011056,0.11173809352441781,0.8316823889393228,1.2762800805588095,0.3121785242305641,0.9662764705878231,2.0417632689299574,36418,0.4060976028442383,4.617140795002342,4.815417999998317
NSGA-III,92,20,64,1,8,0.0008687297435776,1.785857048324433,2.2528312849592327,0.0999101157368744,0.8654307077267461,1.1525489211731936,0.3187054331620033,0.9648515718196394,1.7026901030662132,36418,0.4164144039154053,4.8875517759988725,4.907306600216543
NSGA-III,102,20,64,1,8,0.0008687297435776,2.0819674384528226,1.0060251611362754,0.03431822479134077,0.9841226991702774,1.0529487267361406,0.29925343529307336,0.9690111640327306,1.029486943936208,36418,0.43127999305725095,5.144024859997444,4.972324499976821
NSGA-III,112,20,64,1,8,0.0008687297435776,2.156635150004341,2.701397009361186,0.10458336731326677,0.8525474505134131,1.2815168288146839,0.3077524789030871,0.9672259513886579,1.991456919087935,36418,0.4377295970916748,4.1151306009996915,4.778906998762977
NSGA-III,122,20,64,1,8,0.0008687297435776,2.1976300653824485,3.598491232114048,0.14236406528863083,0.7267703622515529,0.9840345961912865,0.23526785584871332,0.9808463228439632,2.2912629141526675,36418,0.4247551918029785,4.884335434002423,4.992477199266432
NSGA-III,132,20,64,1,8,0.0008687297435776,1.4734722142761036,3.466059398488139,0.1613280137958929,0.649129691902292,0.7516566871940535,0.165041521921252,0.9905743043282321,2.108858042841096,36418,0.4065408229827881,5.011265352000919,4.986518102305126
Random,42,15,64,1,5,0.0007393237106292,1.9504137727406738,2.6011732877646057,0.11978419732654119,0.8065689905409414,1.0148275311543906,0.21413729626268363,0.984132386856588,1.8080004094594981,36418,0.4491568088531494,6.335680045001936,5.065182699036086
Random,52,15,64,1,5,0.0007393237106292,2.1004120217914353,3.3155760415853623,0.14794338852194494,0.7049346806190513,0.7746968951693934,0.21210314537587457,0.9844324169321901,2.045136468377378,36418,0.41184320449829104,6.687004704999708,4.948370096826693
Random,62,15,64,1,5,0.0007393237106292,2.2354700170371835,3.247698518025484,0.13153650456648813,0.7667510819862027,0.7307996414153961,0.18874132043881917,0.9876728990642355,1.98924907972044,36418,0.4124415874481201,6.54372842399971,5.362053300632397
Random,72,15,64,1,5,0.0007393237106292,2.4603093424404605,3.0174259628541904,0.13851488244518398,0.7413455707173794,0.7036987904320929,0.16414589247759495,0.9906763274384852,1.8605623766431416,36418,0.4216608047485352,6.600324039001862,4.893226699277875
Random,82,15,64,1,5,0.0007393237106292,2.6260645968800773,3.025138756557403,0.11811651356956972,0.8119175457475375,0.6637998783758287,0.12977205758749327,0.9941724050922476,1.8444693174666158,36418,0.37857279777526853,5.825447098002769,5.184280602043145
Random,92,15,64,1,5,0.0007393237106292,1.805808085544517,3.1117231550195976,0.13618848204772555,0.7499609715170756,0.9878661644332278,0.23818026520848,0.9803691762924777,2.0497946597264125,36418,0.4111216068267822,6.683685793999757,4.969274699760717
Random,102,15,64,1,5,0.0007393237106292,2.005340001380061,2.0912998779021517,0.09158287721474388,0.8869278601545995,1.0316159641860325,0.23216195474073645,0.9813487012965584,1.561457921044092,36418,0.40829758644104003,6.293301802001224,5.300482199891121
Random,112,15,64,1,5,0.0007393237106292,3.031312002864251,2.701217499487484,0.1354070649679437,0.7528220685629434,0.903830279323979,0.20598704783845104,0.9853172704004928,1.8025238894057316,36418,0.42312960624694823,6.248928370998328,5.2042347993847216
Random,122,15,64,1,5,0.0007393237106292,1.75925279176569,3.162872426951138,0.1431565522601501,0.7237199632530681,0.7560100618891319,0.16178206442149545,0.9909429300941291,1.959441244420135,36418,0.4055312156677246,6.823958335000498,5.089892697287723
Random,132,15,64,1,5,0.0007393237106292,2.305889746175909,2.695906848846334,0.15635462782326984,0.6704293530653318,0.7064906839333908,0.1904253848816762,0.9874519379378497,1.7011987663898624,36418,0.40873122215270996,6.563319157001388,4.955184298887616
