model_a,model_b,mean_difference_pp_a_minus_b,wilcoxon_W,p_raw,p_holm,significant_holm_0_05
LSTM_main_full9_rollout,LSTM_main_full9_teacher_forced,0.1724241102619986,0.0,0.0625,1.0,False
LSTM_main_full9_rollout,LSTM_sparse_k_Re0_rollout,-0.2527008112666643,0.0,0.0625,1.0,False
LSTM_main_full9_rollout,PINN_phys_full9,-6.421778299426345,0.0,0.0625,1.0,False
LSTM_main_full9_rollout,PINN_pred_full9,-5.933442066625696,0.0,0.0625,1.0,False
LSTM_main_full9_rollout,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,-0.461819450007985,3.0,0.3125,1.0,False
LSTM_main_full9_rollout,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,-0.46068987015392837,1.0,0.125,1.0,False
LSTM_main_full9_teacher_forced,LSTM_sparse_k_Re0_rollout,-0.4251249215286629,0.0,0.0625,1.0,False
LSTM_main_full9_teacher_forced,PINN_phys_full9,-6.594202409688345,0.0,0.0625,1.0,False
LSTM_main_full9_teacher_forced,PINN_pred_full9,-6.1058661768876945,0.0,0.0625,1.0,False
LSTM_main_full9_teacher_forced,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,-0.6342435602699836,3.0,0.3125,1.0,False
LSTM_main_full9_teacher_forced,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,-0.6331139804159269,0.0,0.0625,1.0,False
LSTM_sparse_k_Re0_rollout,PINN_phys_full9,-6.16907748815968,0.0,0.0625,1.0,False
LSTM_sparse_k_Re0_rollout,PINN_pred_full9,-5.680741255359032,0.0,0.0625,1.0,False
LSTM_sparse_k_Re0_rollout,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,-0.2091186387413207,6.0,0.8125,1.0,False
LSTM_sparse_k_Re0_rollout,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,-0.20798905888726402,3.0,0.3125,1.0,False
PINN_phys_full9,PINN_pred_full9,0.4883362328006486,0.0,0.0625,1.0,False
PINN_phys_full9,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,5.959958849418361,0.0,0.0625,1.0,False
PINN_phys_full9,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,5.961088429272417,0.0,0.0625,1.0,False
PINN_pred_full9,PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,5.471622616617711,0.0,0.0625,1.0,False
PINN_pred_full9,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,5.4727521964717685,0.0,0.0625,1.0,False
PINNfeat_sparse_k_Re0_Q0_EaStress_rollout,PINNfeat_sparse_k_Re0_Rct0_Q0_EaStress_rollout,0.0011295798540566615,7.0,1.0,1.0,False
