candidate_id,L,hidden,layers,H,lr,seed,validation_macro_MAPE,parameters,latency_ms,train_seconds
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,42,3.0626950363283267,486978,0.6981904029846191,10.34762477800001
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,52,1.7949773521624466,486978,0.7000095844268799,7.605741193999961
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,62,1.972085226356766,486978,0.6978559970855713,6.513080813000045
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,72,1.7877526021869565,486978,0.6997727870941162,8.414654365000047
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,82,1.2492334209051932,486978,0.7039216041564942,8.626847392999991
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,92,1.6019565712575587,486978,0.7044047832489013,8.476320107999982
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,102,1.8089725312406497,486978,0.7038479804992676,8.477922809000006
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,112,1.6329732415327438,486978,0.7058415889739991,7.56227215499996
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,122,2.126544092664589,486978,0.7054336071014404,8.547791160999964
L20_D192_N2_H8_LR0.00100000,20,192,2,8,0.001,132,1.2462654039594732,486978,0.7066463947296142,8.545725651999987
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,42,2.557624627434579,62658,0.4281343936920166,2.328779778000012
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,52,2.229257767886156,62658,0.3904848098754883,2.2533800239999664
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,62,2.6224276391512458,62658,0.41021437644958497,2.210815261999983
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,72,2.608138998741125,62658,0.4233823776245117,2.2341034799999306
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,82,2.8335942216831587,62658,0.4182720184326172,2.1929638710000745
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,92,2.540646726228406,62658,0.42142400741577146,2.112177110999937
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,102,2.6187012247546075,62658,0.42772479057312013,2.2142329110000674
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,112,3.0842166173751027,62658,0.3926032066345215,2.2036435590000565
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,122,2.7661606807672037,62658,0.41972641944885253,2.0307873369999925
L20_D96_N1_H3_LR0.00042092,20,96,1,3,0.000420925,132,2.789942985546152,62658,0.4158031940460205,1.9218970859999445
L15_D96_N1_H5_LR0.00051649,15,96,1,5,0.000516493,42,1.8975745701754103,62658,0.47831201553344727,2.782978759999992
