method,candidate_id,L,hidden,layers,H,lr,seed,validation_macro_MAPE,parameters,latency_ms,train_seconds
NSGA-II,L15_D64_N1_H8_LR0.00096179,15,64,1,8,0.0009617857151734,42,2.116993224260179,36418,0.40177440643310547,6.4841467309997824
NSGA-II,L15_D64_N1_H8_LR0.00096179,15,64,1,8,0.0009617857151734,52,2.3119578806562275,36418,0.4004528045654297,4.631046301001334
NSGA-II,L15_D64_N1_H8_LR0.00096179,15,64,1,8,0.0009617857151734,62,2.611710189034377,36418,0.40724959373474123,4.6389584810021915
NSGA-II,L15_D64_N1_H10_LR0.00179484,15,64,1,10,0.0017948428516826,42,2.298338097742341,36418,0.4080639839172363,4.433698868000647
NSGA-II,L15_D64_N1_H10_LR0.00179484,15,64,1,10,0.0017948428516826,52,2.7286398831118177,36418,0.41541118621826173,4.825180613002885
NSGA-II,L15_D64_N1_H10_LR0.00179484,15,64,1,10,0.0017948428516826,62,2.4033762807628363,36418,0.40203518867492677,4.455872339000052
NSGA-II,L15_D64_N1_H3_LR0.00079425,15,64,1,3,0.0007942476209763,42,2.3163339669941934,36418,0.4256768226623535,4.617785283000558
NSGA-II,L15_D64_N1_H3_LR0.00079425,15,64,1,3,0.0007942476209763,52,2.7070158807672424,36418,0.40987520217895507,4.691340774999844
NSGA-II,L15_D64_N1_H3_LR0.00079425,15,64,1,3,0.0007942476209763,62,2.8600118483931007,36418,0.39099841117858886,4.572903921998659
NSGA-II,L15_D64_N1_H8_LR0.00121542,15,64,1,8,0.0012154215815531,42,1.945599893431377,36418,0.40839200019836425,4.922022069997183
NSGA-II,L15_D64_N1_H8_LR0.00121542,15,64,1,8,0.0012154215815531,52,2.277169960837134,36418,0.3961359977722168,4.61310827899797
NSGA-II,L15_D64_N1_H8_LR0.00121542,15,64,1,8,0.0012154215815531,62,2.759859656546356,36418,0.3985568046569824,4.787143955996726
NSGA-II,L15_D64_N1_H5_LR0.00086873,15,64,1,5,0.0008687297435776,42,2.2083087571720146,36418,0.4031360149383545,4.86853093299942
