method,candidate_id,L,hidden,layers,H,lr,mape_mean,mape_std,parameters,latency_ms,robust_knee_distance
NSGA-II,L15_D64_N1_H10_LR0.00179484,15,64,1,10,0.0017948428516826,2.4767847538723315,0.22434685102813542,36418.0,0.4085034529368083,0.35704853148213117
NSGA-II,L15_D64_N1_H3_LR0.00079425,15,64,1,3,0.0007942476209763,2.6277872320515123,0.2803645729467108,36418.0,0.40885014533996583,0.4505866413660014
NSGA-II,L15_D64_N1_H5_LR0.00086873,15,64,1,5,0.0008687297435776,2.4818268983220957,0.4043508234496502,36418.0,0.4018186728159587,0.3438830604771986
NSGA-II,L15_D64_N1_H8_LR0.00096179,15,64,1,8,0.0009617857151734,2.3468870979835947,0.24920123690739482,36418.0,0.40315893491109217,0.26123753091227914
NSGA-II,L15_D64_N1_H8_LR0.00121542,15,64,1,8,0.0012154215815531,2.3275431702716225,0.40946042010011596,36418.0,0.4010282675425212,0.2448498372874084
NSGA-III,L15_D64_N1_H8_LR0.00134034,15,64,1,8,0.0013403390568723,2.2486302911743903,0.2819538958728798,36418.0,0.4157642682393392,0.27159848819419474
NSGA-III,L15_D96_N1_H3_LR0.00035666,15,96,1,3,0.0003566614013512,1.9488948910108193,0.14156485989484446,62658.0,0.41196746031443277,1.0115081834309643
NSGA-III,L15_D96_N1_H5_LR0.00041880,15,96,1,5,0.0004187950086557,1.9502752252016087,0.06411440438390621,62658.0,0.41274399757385255,1.012778527939518
NSGA-III,L20_D64_N1_H8_LR0.00086873,20,64,1,8,0.0008687297435776,2.2853475154064515,0.09826493582407025,36418.0,0.41177600224812827,0.26253492760403824
NSGA-III,L20_D64_N1_H8_LR0.00200000,20,64,1,8,0.002,2.6169774986521923,0.18119676726458112,36418.0,0.39880107243855795,0.42780049498300865
Random,L10_D64_N1_H15_LR0.00021401,10,64,1,15,0.0002140147489463,3.122101855049675,0.3395459748283609,36418.0,0.4255498727162679,0.80647146457841
Random,L10_D64_N1_H15_LR0.00033322,10,64,1,15,0.0003332183435883,3.5110132011881654,0.2502447497675497,36418.0,0.39890666007995607,1.000065212646929
Random,L15_D64_N1_H5_LR0.00073932,15,64,1,5,0.0007393237106292,2.4432078905862857,0.4458161238298915,36418.0,0.3978650649388631,0.3164376195803937
Random,L20_D64_N1_H3_LR0.00114316,20,64,1,3,0.0011431579756376,2.525849729101824,0.14719607055967526,36418.0,0.50021866162618,1.0660267399939873
Random,L20_D64_N1_H8_LR0.00122920,20,64,1,8,0.0012291996435087,2.5656078916104263,0.19896724993607862,36418.0,0.4162303924560547,0.4412659750264517
