method,run,evaluations,hypervolume,IGD
NSGA-II,1,28,1.1135418102856756,0.1126264216048325
NSGA-II,1,56,1.1296579596876588,0.08664733411020145
NSGA-II,1,84,1.1507576971975273,0.07760598333907927
NSGA-II,1,112,1.1543027993438297,0.07516227613323456
NSGA-II,1,140,1.1643835711768213,0.07365869625916713
NSGA-II,1,168,1.1669781801141428,0.071278374108056
NSGA-II,1,196,1.1782078029749983,0.06771816424349446
NSGA-II,1,224,1.1832354390745305,0.06617631080741464
NSGA-II,1,252,1.1846177089130447,0.06498489454246453
NSGA-II,1,280,1.1849015260186808,0.05993210898795175
NSGA-II,2,28,1.15642022613501,0.09386309776013417
NSGA-II,2,56,1.1585398959735072,0.08280980347102981
NSGA-II,2,84,1.16275003781277,0.07728576402531413
NSGA-II,2,112,1.1757287067009596,0.07154397847184721
NSGA-II,2,140,1.186728295768326,0.060128878792860836
NSGA-II,2,168,1.1867314269100069,0.060128878792860836
NSGA-II,2,196,1.1880313822636954,0.05715277174702855
NSGA-II,2,224,1.1882326522912003,0.05610973838320751
NSGA-II,2,252,1.190847199343611,0.06341709239110546
NSGA-II,2,280,1.194513473013913,0.057472360957192825
NSGA-II,3,28,1.107583919463918,0.10193668944805608
NSGA-II,3,56,1.1344380245960382,0.08690576163055086
NSGA-II,3,84,1.173790978294684,0.07953988066743137
NSGA-II,3,112,1.1785091338247191,0.0788540283216088
NSGA-II,3,140,1.1790826482666126,0.07831648854420402
NSGA-II,3,168,1.1950677142785402,0.07693460522397746
NSGA-II,3,196,1.1955054230084268,0.07422971413312109
NSGA-II,3,224,1.1989894435782305,0.07003027833874728
NSGA-II,3,252,1.1996440698174542,0.067858045453244
NSGA-II,3,280,1.202670241872863,0.06696426442502416
NSGA-II,4,28,1.1085752033668927,0.129530345627647
NSGA-II,4,56,1.1177422435427526,0.11197775140200153
NSGA-II,4,84,1.1404907294271616,0.09341024966320045
NSGA-II,4,112,1.1451615255532008,0.08649019511741608
NSGA-II,4,140,1.1571068666512996,0.08258571698680302
NSGA-II,4,168,1.1881931950829925,0.08235135434082826
NSGA-II,4,196,1.1902297407515186,0.07982920090408256
NSGA-II,4,224,1.2259624140103442,0.07433871857323963
NSGA-II,4,252,1.2261907795514555,0.07693025567756169
NSGA-II,4,280,1.2303014218077077,0.07678072068909456
NSGA-II,5,28,1.110798726855966,0.11634547607488942
NSGA-II,5,56,1.1489565174706189,0.08995332967411897
NSGA-II,5,84,1.1553655838413517,0.0837264553543726
NSGA-II,5,112,1.171516376103845,0.07653719364755127
NSGA-II,5,140,1.1727495389532696,0.07460932015765756
NSGA-II,5,168,1.1731998249480133,0.07016878893175384
NSGA-II,5,196,1.1771213309892778,0.06536434704841372
NSGA-II,5,224,1.1791974303802653,0.0673417608695201
