method,run,evaluation,generation,candidate_id,L,hidden,layers,H,lr,validation_macro_MAPE,parameters,latency_ms,train_seconds,repaired,training_seed,norm_mape,norm_log_params,norm_log_latency,rank,ideal_distance
NSGA-II,6,126,4,L15_D64_N1_H8_LR0.00096179,15,64,1,8,0.0009617857151734,1.795189648503159,36418,0.3912832021713257,2.7774763779998466,False,41006,0.1304222893086962,0.0,0.05823652679651477,0,0.14283370261196213
NSGA-II,12,118,4,L15_D64_N1_H10_LR0.00179484,15,64,1,10,0.0017948428516826,1.9066874237546263,36418,0.3832592010498047,2.730877857997257,True,41012,0.14408540883484142,0.0,0.038628701431050586,0,0.14917366259951065
NSGA-II,12,221,7,L15_D64_N1_H3_LR0.00079425,15,64,1,3,0.0007942476209763,1.9441662338807928,36418,0.37882239818573,2.659765766999044,False,41012,0.14867812345445242,0.0,0.027609714323671975,0,0.15121997460313294
NSGA-II,6,138,4,L15_D64_N1_H8_LR0.00121542,15,64,1,8,0.0012154215815531,1.7027182841283546,36418,0.4063119888305664,2.719848643999285,False,41006,0.11909069725361568,0.0,0.0939030609600782,0,0.15165875850086769
NSGA-II,3,215,7,L15_D64_N1_H5_LR0.00086873,15,64,1,5,0.0008687297435776,2.410111111534306,36418,0.3787247896194458,2.6020312080008807,False,41003,0.2057757699466526,0.0,0.027365851074024686,0,0.20758746903930253
NSGA-III,6,213,7,L15_D64_N1_H8_LR0.00134034,15,64,1,8,0.0013403390568723,1.7047773767668182,36418,0.3946336030960083,2.6231903530006093,False,41006,0.11934302182934181,0.0,0.06630499229702518,0,0.13652512172808096
NSGA-III,3,5,0,L20_D64_N1_H8_LR0.00086873,20,64,1,8,0.0008687297435776,2.2562210148955835,36418,0.3842144012451172,2.0137487409997448,False,41003,0.18691782610407143,0.0,0.04098428920317607,0,0.19135826524339486
NSGA-III,3,173,6,L20_D64_N1_H8_LR0.00200000,20,64,1,8,0.002,2.238412995537064,36418,0.3935231924057006,2.0168153399999937,False,41003,0.18473560232004885,0.0,0.06363850568095385,0,0.19538961633069457
NSGA-III,1,4,0,L15_D96_N1_H5_LR0.00041880,15,96,1,5,0.0004187950086557,1.949902116540403,62658,0.3841792106628418,2.6894931850000035,False,41001,0.14938100788590805,0.1768317246220302,0.04089761081666024,0,0.23506756245880087
NSGA-III,6,245,8,L15_D96_N1_H3_LR0.00035666,15,96,1,3,0.0003566614013512,1.9146953057545013,62658,0.3907871961593628,2.730584258000817,False,41006,0.1450667077770741,0.1768317246220302,0.057036173023979814,0,0.23572639557610406
Random,11,114,4,L20_D64_N1_H8_LR0.00122920,20,64,1,8,0.0012291996435087,2.136680606931286,36418,0.4048895835876465,1.5454019560020242,False,41011,0.17226914922655798,0.0,0.09058439824051778,0,0.19463348370678366
Random,3,107,3,L20_D64_N1_H3_LR0.00114316,20,64,1,3,0.0011431579756376,2.051587131082947,36418,0.4124911785125732,2.265233066000292,False,41003,0.16184165568429823,0.0,0.10818635473381893,0,0.19467154097408962
Random,15,182,6,L15_D64_N1_H5_LR0.00073932,15,64,1,5,0.0007393237106292,1.911690923618928,36418,0.4238592147827148,2.733315121000487,False,41015,0.14469854588211273,0.0,0.1339135263849662,0,0.19715603396613282
Random,13,75,2,L10_D64_N1_H15_LR0.00033322,10,64,1,15,0.0003332183435883,2.046890130161138,36418,0.4151120185852051,3.3901582319995214,False,41013,0.1612660775181478,0.0,0.11417995705034453,0,0.19759506661378917
Random,6,214,7,L10_D64_N1_H15_LR0.00021401,10,64,1,15,0.0002140147489463,2.2637459541655662,36418,0.4030623912811279,3.5103059360008046,False,41006,0.18783994445523025,0.0,0.08630416374772681,0,0.2067178110689508
