seed,variant,Q_MAPE,Q_RMSE,Q_R2,Re_MAPE,Re_RMSE,Re_R2,macro_MAPE,train_seconds,inference_seconds,inference_ms_per_trajectory,n_eval_rows,n_eval_cells,epochs
42,base4,3.8216966419244804,0.10560073906484081,0.8496647030964113,1.4565113464416668,0.2876269500902611,0.971372321829115,2.6391039941830736,20.108176799985813,0.11829649994615465,11.829649994615465,76,10,54
42,base4_plus_stress,3.1453886466298786,0.09276948085516977,0.8839788150313908,2.563376710632895,0.47239368520029307,0.9227790498715085,2.854382678631387,19.446137899998575,0.1365813000302296,13.658130003022961,76,10,56
52,base4,2.9780073708615205,0.09707836655265387,0.8729507912202947,2.5505646802075734,0.797541562882303,0.7798931168280456,2.764286025534547,19.704916600021534,0.10025600006338209,10.025600006338209,76,10,56
52,base4_plus_stress,3.4759672703768194,0.10400104590994524,0.8541849140930734,3.344295864446816,0.8764525654866461,0.734182354346272,3.4101315674118178,20.25633529998595,0.13461450015893206,13.461450015893206,76,10,54
62,base4,3.279199717208814,0.09360573387659579,0.8818776851411474,1.7697722899017192,0.3620182850518721,0.9546488830899751,2.5244860035552668,20.51981580001302,0.10767419991316274,10.767419991316274,76,10,54
62,base4_plus_stress,4.6618469959626525,0.1368681076497983,0.7474591896705598,3.5592719295144,0.8472532653393854,0.7515989218354345,4.110559462738526,18.846532099996693,0.2873105000471696,28.731050004716963,76,10,47
72,base4,3.2769734445416363,0.09089413389496823,0.8886221690954837,2.112437608371768,0.39182561582056047,0.9468733265034069,2.694705526456702,30.170367599988822,0.1782822999812197,17.82822999812197,76,10,54
72,base4_plus_stress,4.104613263694592,0.11904833588664333,0.8089382715602631,2.8628944996431196,0.7841065223695289,0.7872463072736693,3.483753881668856,21.357503700011875,0.10023299980093725,10.023299980093725,76,10,49
82,base4,2.893797607683808,0.09252950389220796,0.884578288044411,0.7368728805471791,0.20556889599265915,0.9853768215117957,1.8153352441154935,56.188535199995385,0.12358059987309389,12.358059987309389,76,10,148
82,base4_plus_stress,3.339594615662652,0.101565078169273,0.8609356345471442,2.154492941567317,0.42586263243622974,0.9372424410673688,2.7470437786149846,21.504713499976788,0.10570429993094876,10.570429993094876,76,10,55
92,base4,3.7055202640628693,0.10247190491373165,0.858441268090575,1.2138204943055386,0.25047295691712856,0.9782905580678081,2.459670379184204,20.803959599987138,0.28584849991602823,28.584849991602823,76,10,52
92,base4_plus_stress,3.551880627860523,0.10233731953231122,0.8588128670138455,1.8652309393127664,0.3947410492022518,0.946079792332413,2.7085557835866445,23.08428159999312,0.14855770001304336,14.855770001304336,76,10,52
102,base4,2.688978490351271,0.0913366359065599,0.8875350828436422,2.7098796944701844,0.744947169707566,0.807966090794394,2.6994290924107274,21.690505300008226,0.11887289982405491,11.887289982405491,76,10,56
102,base4_plus_stress,3.100265448149024,0.0937372067156878,0.8815456374854332,2.6569868263210616,0.8804713135905065,0.7317390886086187,2.8786261372350426,27.176507199998014,0.12913579991436563,12.913579991436563,76,10,65
112,base4,3.8507850395439616,0.10746252506329489,0.8443170234825563,1.403592220244264,0.3050989422125227,0.9677886907177277,2.6271886298941127,18.12399409999489,0.12395620002644137,12.395620002644137,76,10,51
112,base4_plus_stress,3.5842008702909633,0.11048813082383362,0.8354271094163439,2.676148561013415,0.5670587951687612,0.8887287016564547,3.1301747156521893,18.409822999994503,0.14726810005959123,14.726810005959123,76,10,51
122,base4,3.211822776698756,0.08918895210967577,0.8927618861018645,1.7126831317935065,0.31964519105179207,0.9646439838210011,2.4622529542461313,19.31001680000918,0.11264640011359006,11.264640011359006,76,10,55
122,base4_plus_stress,3.8756138621210563,0.1064951641147805,0.8471072759077943,2.9104285393354705,0.6261838835622859,0.8643153416531053,3.3930212007282634,20.807137999974657,0.10917029983829707,10.917029983829707,76,10,56
132,base4,3.8942591637705473,0.10641138038004153,0.8473477541402473,2.4758904334180203,0.4676283705037193,0.9243291387623541,3.1850747985942838,20.607958800013876,0.16749630001140758,16.74963000114076,76,10,53
132,base4_plus_stress,3.7140414519560316,0.10431671861121983,0.8532983903380291,3.050479813946533,0.5592517122880413,0.891771505103268,3.382260632951282,23.85498999999254,0.12341949992696755,12.341949992696755,76,10,53
