model,seed,exp,Q_MAPE,n_eval_rows,n_eval_cells
SOH_BOL_persistence,,1,34.881441083584974,55,9
SOH_BOL_persistence,,2,9.552893167643514,36,6
SOH_BOL_persistence,,3,16.80191875704716,51,9
SOH_BOL_persistence,,4,19.016296302319866,40,8
SOH_BOL_persistence,,5,23.787864782649088,64,8
SOH_last_observation_persistence,,1,12.811216213983851,55,9
SOH_last_observation_persistence,,2,2.0999218217835227,36,6
SOH_last_observation_persistence,,3,5.816026091829564,51,9
SOH_last_observation_persistence,,4,7.975742479587475,40,8
SOH_last_observation_persistence,,5,5.060770231118742,64,8
SOH_linear_fade,,1,11.86536633232958,55,9
SOH_linear_fade,,2,2.322740015963078,36,6
SOH_linear_fade,,3,2.405817094856028,51,9
SOH_linear_fade,,4,6.673604275373276,40,8
SOH_linear_fade,,5,8.364545112892275,64,8
SOH_sqrt_fade,,1,10.71294023963617,55,9
SOH_sqrt_fade,,2,0.5549640984168244,36,6
SOH_sqrt_fade,,3,3.7848647357724206,51,9
SOH_sqrt_fade,,4,4.5216066847999015,40,8
SOH_sqrt_fade,,5,1.495026275024964,64,8
source_pretrained_head_adapted,42.0,1,23.333538318422402,55,9
source_pretrained_head_adapted,42.0,2,1.0397798038718775,36,6
source_pretrained_head_adapted,42.0,3,6.752940716438947,51,9
source_pretrained_head_adapted,42.0,4,8.776805712235932,40,8
source_pretrained_head_adapted,42.0,5,13.137855363864887,64,8
target_only_LSTM_from_scratch,42.0,1,10.3506754096879,55,9
target_only_LSTM_from_scratch,42.0,2,1.7882890901957302,36,6
target_only_LSTM_from_scratch,42.0,3,2.398709039091248,51,9
target_only_LSTM_from_scratch,42.0,4,5.073633055917241,40,8
target_only_LSTM_from_scratch,42.0,5,2.08936951813318,64,8
source_pretrained_head_adapted,52.0,1,23.682119732292993,55,9
source_pretrained_head_adapted,52.0,2,1.0755237409784808,36,6
source_pretrained_head_adapted,52.0,3,7.0638260076634225,51,9
source_pretrained_head_adapted,52.0,4,9.093584891295206,40,8
source_pretrained_head_adapted,52.0,5,13.467334766279999,64,8
target_only_LSTM_from_scratch,52.0,1,9.003252966303787,55,9
target_only_LSTM_from_scratch,52.0,2,2.4067171502648677,36,6
target_only_LSTM_from_scratch,52.0,3,2.2056384630165775,51,9
target_only_LSTM_from_scratch,52.0,4,4.6180377799245065,40,8
target_only_LSTM_from_scratch,52.0,5,1.3074777667211486,64,8
source_pretrained_head_adapted,62.0,1,23.326021043726225,55,9
source_pretrained_head_adapted,62.0,2,1.0393656007151066,36,6
source_pretrained_head_adapted,62.0,3,6.746236371226784,51,9
source_pretrained_head_adapted,62.0,4,8.7699742633627,40,8
source_pretrained_head_adapted,62.0,5,13.130750030430205,64,8
target_only_LSTM_from_scratch,62.0,1,9.045513175442558,55,9
target_only_LSTM_from_scratch,62.0,2,2.205663212359294,36,6
target_only_LSTM_from_scratch,62.0,3,2.3415941379252376,51,9
target_only_LSTM_from_scratch,62.0,4,5.662684412741703,40,8
target_only_LSTM_from_scratch,62.0,5,1.2633350030735084,64,8
source_pretrained_head_adapted,72.0,1,23.34562216185924,55,9
source_pretrained_head_adapted,72.0,2,1.040445625768748,36,6
source_pretrained_head_adapted,72.0,3,6.763717794723919,51,9
source_pretrained_head_adapted,72.0,4,8.787787106686356,40,8
source_pretrained_head_adapted,72.0,5,13.149277021348677,64,8
target_only_LSTM_from_scratch,72.0,1,9.953340441577984,55,9
target_only_LSTM_from_scratch,72.0,2,2.183759075117201,36,6
target_only_LSTM_from_scratch,72.0,3,2.4143644923475014,51,9
target_only_LSTM_from_scratch,72.0,4,5.21468456553947,40,8
target_only_LSTM_from_scratch,72.0,5,1.4472660635064372,64,8
source_pretrained_head_adapted,82.0,1,23.630911713594273,55,9
source_pretrained_head_adapted,82.0,2,1.0674440510160004,36,6
source_pretrained_head_adapted,82.0,3,7.018155701752944,51,9
source_pretrained_head_adapted,82.0,4,9.047048749438105,40,8
source_pretrained_head_adapted,82.0,5,13.418932910276338,64,8
target_only_LSTM_from_scratch,82.0,1,10.265463281846129,55,9
target_only_LSTM_from_scratch,82.0,2,1.833500775386335,36,6
target_only_LSTM_from_scratch,82.0,3,2.3390087971084723,51,9
target_only_LSTM_from_scratch,82.0,4,5.614190242516033,40,8
target_only_LSTM_from_scratch,82.0,5,1.9273100026771148,64,8
