model,seed,source_pretrain_seconds,target_training_seconds,inference_ms_per_trajectory
source_pretrained_head_adapted,42,2.5815711369999974,1.7449453529999914,9.874135975001508
target_only_LSTM_from_scratch,42,0.0,2.428423398999996,3.7449325249980348
source_pretrained_head_adapted,52,1.8650060639999992,1.1689506000000165,9.462019150004863
target_only_LSTM_from_scratch,52,0.0,2.5010340279999923,3.8052658249966953
source_pretrained_head_adapted,62,0.8452589190000026,1.405143269000007,9.330188075007584
target_only_LSTM_from_scratch,62,0.0,2.4492342860000065,3.690566224995706
source_pretrained_head_adapted,72,1.0484332000000052,1.4044440339999937,9.56587997501046
target_only_LSTM_from_scratch,72,0.0,2.3270879779999802,3.7921578249950016
source_pretrained_head_adapted,82,0.8581970490000117,0.9403052819999971,9.442194324986986
target_only_LSTM_from_scratch,82,0.0,2.459918571000003,3.6953034749913627
